v1_membership_id,source_layer,source_file,source_index,archetype_id,candidate_type,artist_display_name,title,year,primary_family,primary_archetype,secondary_archetypes,recognition_band,mission_role,import_class,version_or_composition_risk,risk_status,confidence,why_it_belongs,notes,candidate_identity_key,archetype_membership_key,active_in_v1,active_effective_credit,pm_multi_membership_status,pass_c_zero_credit_before_pm_decision,sidecar_scope
v1m_00299,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Chuck Berry,After School Session,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Best original-LP doorway for Berry's 1950s run.,True album,album|chuck berry|after school session,album|chuck berry|after school session@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00300,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Bo Diddley,Bo Diddley,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Best original LP for the beat-and-riff test.,True album,album|bo diddley|bo diddley,album|bo diddley|bo diddley@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00301,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Buddy Holly,Buddy Holly,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Good second LP object when the user likes Buddy faster than the lane.,True album,album|buddy holly|buddy holly,album|buddy holly|buddy holly@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00302,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Carl Perkins,Dance Album of Carl Perkins,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,Stronger as a lane album than as a mass-gateway album.,True album,album|carl perkins|dance album of carl perkins,album|carl perkins|dance album of carl perkins@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00303,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Elvis Presley,Elvis,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Strong companion LP for mass recognition.,True album,album|elvis presley|elvis,album|elvis presley|elvis@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00304,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Elvis Presley,Elvis Presley,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Core first-wave LP object.,True album,album|elvis presley|elvis presley,album|elvis presley|elvis presley@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00305,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Bo Diddley,Go Bo Diddley,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,Useful follow-on object if a user likes the rhythmic lane.,True album,album|bo diddley|go bo diddley,album|bo diddley|go bo diddley@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00306,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Little Richard,Here's Little Richard,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,One of the clearest true-album anchors in the family.,True album,album|little richard|here s little richard,album|little richard|here s little richard@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00307,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Jerry Lee Lewis,Jerry Lee's Greatest!,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,album_world,core_graph_album,none,resolved,high,Survey users often know the singles more than album lore.,Greatest-hits style LP,album|jerry lee lewis|jerry lee s greatest,album|jerry lee lewis|jerry lee s greatest@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00308,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Johnny Cash,Johnny Cash with His Hot and Blue Guitar!,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,Included because Cash often lights up adjacent rockabilly listeners.,Album exception,album|johnny cash|johnny cash with his hot and blue guitar,album|johnny cash|johnny cash with his hot and blue guitar@@001,true,1,not_applicable,false,core_album_sidecar
v1m_00309,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,album,Ritchie Valens,Ritchie Valens,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,medium,album_world,core_graph_album,none,resolved,high,"A good object when ""La Bamba"" reaction is strong enough to widen.",Album exception,album|ritchie valens|ritchie valens,album|ritchie valens|ritchie valens@@001,true,1,not_applicable,false,core_album_sidecar
