candidate_identity_key,artist_display_name,title,year,membership_count,archetype_ids,import_classes,resolution_status,selected_source,confidence,match_score,track_count,catalog_artist_name,catalog_collection_name,catalog_release_date,apple_collection_id,musicbrainz_release_group_id,musicbrainz_release_id,catalog_url,warnings
album||myth takes,!!!,Myth Takes,2007,1,085,core_graph_album,resolved,apple_itunes_search_api,high,97,10,!!!,Myth Takes,2007-03-05,214222721,,,https://music.apple.com/us/album/myth-takes/214222721?uo=4,
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,core_graph_album,resolved,musicbrainz_ws2,high,109,10,100 gecs,"10,000 gecs",2023-03-17,1655225317,d73daa13-b571-41dd-8dfd-740fde3fda7d,165ab959-cc45-441d-8d7d-e5f300c1d9c9,https://musicbrainz.org/release/165ab959-cc45-441d-8d7d-e5f300c1d9c9,
album|100 gecs|1000 gecs,100 gecs,1000 gecs,2019,1,119,core_graph_album,resolved,musicbrainz_ws2,high,109,10,100 gecs,1000 gecs,2019-05-31,1497364061,9bbc8220-9f72-4595-a0f7-55dfdbab569a,6cddb1f1-d7c4-4932-b080-fe9a0968eb75,https://musicbrainz.org/release/6cddb1f1-d7c4-4932-b080-fe9a0968eb75,
album|13th floor elevators|easter everywhere,13th Floor Elevators,Easter Everywhere,1967,1,014,core_graph_album,resolved,musicbrainz_ws2,high,109,21,13th Floor Elevators,Easter Everywhere,1967-10-25,558701367,d47f5666-e7cf-35c4-898d-ef778cc3cce0,6f78e28e-3fde-4e65-aceb-52815b3c84d2,https://musicbrainz.org/release/6f78e28e-3fde-4e65-aceb-52815b3c84d2,
album|13th floor elevators|psychedelic sounds of the 13th floor elevators,13th Floor Elevators,The Psychedelic Sounds of the 13th Floor Elevators,1966,1,014,core_graph_album,resolved,musicbrainz_ws2,high,109,27,13th Floor Elevators,The Psychedelic Sounds of the 13th Floor Elevators,1966-11,558685692,6577ce2b-1be3-4ed0-92c6-f78175280bae,45625c5b-4b3e-4541-8d83-12d9bbadef30,https://musicbrainz.org/release/45625c5b-4b3e-4541-8d83-12d9bbadef30,
album|20 20|20 20,20/20,20/20,1979,1,021,core_graph_album,resolved,apple_itunes_search_api,high,97,12,20/20,20/20,1979-01-01,848221451,,,https://music.apple.com/us/album/20-20/848221451?uo=4,
album|21 savage and metro boomin|savage mode ii,21 Savage & Metro Boomin,Savage Mode II,2020,1,052,core_graph_album,resolved,apple_itunes_search_api,high,97,15,21 Savage & Metro Boomin,SAVAGE MODE II,2020-10-02,1534263780,,,https://music.apple.com/us/album/savage-mode-ii/1534263780?uo=4,
album|2baba|grass 2 grace,2Baba,Grass 2 Grace,2006,1,097,core_graph_album,resolved,musicbrainz_ws2,high,109,13,2Baba,Grass 2 Grace,2006-12-08,,43260464-0b8b-4abf-924a-40a2d1a75642,2847d35e-1442-4739-a03d-af1ed93bca99,https://musicbrainz.org/release/2847d35e-1442-4739-a03d-af1ed93bca99,
album|2pac|all eyez on me,2Pac,All Eyez on Me,1996,1,047,core_graph_album,resolved,apple_itunes_search_api,high,97,27,2Pac,All Eyez On Me,1996-02-13,1588492978,,,https://music.apple.com/us/album/all-eyez-on-me/1588492978?uo=4,large_track_count_review_recommended
album|2pac|me against the world,2Pac,Me Against the World,1995,1,047,core_graph_album,resolved,musicbrainz_ws2,high,109,15,2Pac,Me Against the World,1995-03-14,1440509542,cfc98a2a-6aaa-3dda-a01d-e034e56c4fec,37d89c1e-4f78-4116-ae56-48ee06b8f64b,https://musicbrainz.org/release/37d89c1e-4f78-4116-ae56-48ee06b8f64b,
album|3 doors down|better life,3 Doors Down,The Better Life,2000,1,071,core_graph_album,resolved,apple_itunes_search_api,high,94,11,3 Doors Down,The Better Life,1999-01-01,1440664882,,,https://music.apple.com/us/album/the-better-life/1440664882?uo=4,
album|4 non blondes|bigger better faster more,4 Non Blondes,"Bigger, Better, Faster, More!",1992,1,074,core_graph_album,resolved,apple_itunes_search_api,high,97,11,4 Non Blondes,"Bigger, Better, Faster, More!",1992-10-13,1440902342,,,https://music.apple.com/us/album/bigger-better-faster-more/1440902342?uo=4,
album|50 cent|get rich or die tryin,50 Cent,Get Rich or Die Tryin',2003,1,050,core_graph_album,resolved,musicbrainz_ws2,high,109,19,50 Cent,Get Rich or Die Tryin’,2003-02-04,1440841450,f624ead2-e4ba-4e52-bea5-4362b1c67b14,1393795a-5c1d-488e-b1a5-ef554bdeb775,https://musicbrainz.org/release/1393795a-5c1d-488e-b1a5-ef554bdeb775,
album|6lack|free 6lack,6LACK,Free 6lack,2016,1,044,core_graph_album,resolved,musicbrainz_ws2,high,109,14,6LACK,FREE 6LACK,2016-11-18,1440897757,7f28cd6e-7f1a-42ac-be67-7c53173534b1,ede19da0-9b4d-4a2f-80c2-3996ed59a36b,https://musicbrainz.org/release/ede19da0-9b4d-4a2f-80c2-3996ed59a36b,
album|7 seconds|crew,7 Seconds,The Crew,1984,1,055,core_graph_album,resolved,musicbrainz_ws2,high,109,18,7Seconds,The Crew,1984,1565631542,d1b66623-a45b-30f3-bf06-6c022205408a,f04c901d-e32b-4fcb-a205-9982bb9a69fa,https://musicbrainz.org/release/f04c901d-e32b-4fcb-a205-9982bb9a69fa,
album|8ball and mjg|comin out hard,8Ball & MJG,Comin' Out Hard,1993,1,049,core_graph_album,resolved,musicbrainz_ws2,high,109,11,8Ball & MJG,Comin' Out Hard,1993-07-06,962220541,5cc65447-e646-3f90-adbc-4e546389e8ad,ba224f7e-d262-4b1e-a139-b4b86d4d20bc,https://musicbrainz.org/release/ba224f7e-d262-4b1e-a139-b4b86d4d20bc,
album|a ap rocky|long live a ap,A$AP Rocky,Long.Live.A$AP,2013,1,052,boundary_candidate,resolved,musicbrainz_ws2,high,109,17,A$AP Rocky,LONG.LIVE.A$AP,2013-01-11,1450690198,c0eb54b5-757a-452a-a248-d7dbdb39cd18,0b5b055a-2050-47ac-8ca5-056d1618302f,https://musicbrainz.org/release/0b5b055a-2050-47ac-8ca5-056d1618302f,
album|a day to remember|homesick,A Day to Remember,Homesick,2009,1,067,boundary_candidate,resolved,apple_itunes_search_api,high,97,12,A Day to Remember,Homesick,2009-02-03,1558595736,,,https://music.apple.com/us/album/homesick/1558595736?uo=4,
album|a g cook|britpop,A. G. Cook,Britpop,2024,1,119,core_graph_album,resolved,apple_itunes_search_api,high,97,24,A. G. Cook,Britpop,2024-05-10,1743823674,,,https://music.apple.com/us/album/britpop/1743823674?uo=4,large_track_count_review_recommended
album|a ha|hunting high and low,A-ha,Hunting High and Low,1985,1,058,core_graph_album,resolved,musicbrainz_ws2,high,109,10,a‐ha,Hunting High and Low,1985-06-10,1037562339,af7347df-ef5a-3c41-826d-d884f8916c17,1ea9868b-3b80-44d1-9311-bd13b0f3a243,https://musicbrainz.org/release/1ea9868b-3b80-44d1-9311-bd13b0f3a243,
album|a r kane|69,A.R. Kane,69,1988,1,073,core_graph_album,resolved,apple_itunes_search_api,high,97,10,A.R. Kane,69,1988-01-01,1698316344,,,https://music.apple.com/us/album/69/1698316344?uo=4,
album|a taste of honey|a taste of honey,A Taste of Honey,A Taste of Honey,1978,1,040,core_graph_album,resolved,apple_itunes_search_api,high,97,9,A Taste of Honey,A Taste of Honey,1978-01-01,716553965,,,https://music.apple.com/us/album/a-taste-of-honey/716553965?uo=4,
album|a tribe called quest|low end theory,A Tribe Called Quest,The Low End Theory,1991,1,046,core_graph_album,resolved,musicbrainz_ws2,high,109,14,A Tribe Called Quest,The Low End Theory,1991-09-24,278911460,c3733436-fcba-3c08-b082-d548df5c5139,69959f4a-29fd-4867-83ec-bfb4036b30d1,https://musicbrainz.org/release/69959f4a-29fd-4867-83ec-bfb4036b30d1,
album|a tribe called quest|midnight marauders,A Tribe Called Quest,Midnight Marauders,1993,1,046,core_graph_album,resolved,musicbrainz_ws2,high,109,14,A Tribe Called Quest,Midnight Marauders,1993-11-09,265670545,c2afedfb-034a-3683-ad47-e4404cd7c485,66970091-71ab-47a6-a62a-30ee44109fae,https://musicbrainz.org/release/66970091-71ab-47a6-a62a-30ee44109fae,
album|a tribe called quest|people s instinctive travels and the paths of rhythm,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm,1990,1,046,core_graph_album,resolved,musicbrainz_ws2,high,109,20,A Tribe Called Quest,People’s Instinctive Travels and the Paths of Rhythm,1990,1806751228,02adb8a7-496c-3a9a-a324-662df73fdba5,3f0a2359-7aa7-4c85-bccc-5b99c33a8542,https://musicbrainz.org/release/3f0a2359-7aa7-4c85-bccc-5b99c33a8542,
album|aaliyah|one in a million,Aaliyah,One in a Million,1996,1,042,core_graph_album,resolved,apple_itunes_search_api,high,97,18,Aaliyah,One In A Million,1996-08-13,1769721510,,,https://music.apple.com/us/album/one-in-a-million/1769721510?uo=4,
album|abba|arrival,ABBA,Arrival,1976,1,088,core_graph_album,resolved,musicbrainz_ws2,high,109,12,ABBA,Arrival,1976,1440820126,e464e167-83ab-3b59-88bd-262cf552056e,17c6d9f0-3d00-381e-892d-b40fdf995257,https://musicbrainz.org/release/17c6d9f0-3d00-381e-892d-b40fdf995257,
