candidate_identity_key,artist_display_name,album_title,album_year,membership_count,archetype_ids,selected_source,apple_collection_id,musicbrainz_release_id,sidecar_track_index,disc_number,track_number,track_title,track_artist_name,duration_ms,apple_track_id,musicbrainz_recording_id,track_url,is_streamable
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,1,1,1,Myth Takes,!!!,143987,214222722,,https://music.apple.com/us/album/myth-takes/214222721?i=214222722,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,2,1,2,All My Heroes Are Weirdos,!!!,184080,214222736,,https://music.apple.com/us/album/all-my-heroes-are-weirdos/214222721?i=214222736,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,3,1,3,Must Be the Moon,!!!,356093,214222746,,https://music.apple.com/us/album/must-be-the-moon/214222721?i=214222746,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,4,1,4,A New Name,!!!,294947,214222804,,https://music.apple.com/us/album/a-new-name/214222721?i=214222804,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,5,1,5,Heart of Hearts,!!!,362907,214222813,,https://music.apple.com/us/album/heart-of-hearts/214222721?i=214222813,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,6,1,6,Sweet Life,!!!,226680,214222836,,https://music.apple.com/us/album/sweet-life/214222721?i=214222836,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,7,1,7,Yadnus,!!!,313093,214222851,,https://music.apple.com/us/album/yadnus/214222721?i=214222851,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,8,1,8,Bend Over Beethoven,!!!,486813,214222902,,https://music.apple.com/us/album/bend-over-beethoven/214222721?i=214222902,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,9,1,9,Break In Case of Anything,!!!,219840,214222931,,https://music.apple.com/us/album/break-in-case-of-anything/214222721?i=214222931,true
album||myth takes,!!!,Myth Takes,2007,1,085,apple_itunes_search_api,214222721,,10,1,10,Infinifold,!!!,311733,214222956,,https://music.apple.com/us/album/infinifold/214222721?i=214222956,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,1,1,1,Dumbest Girl Alive,100 gecs,137440,1655225321,,https://music.apple.com/us/album/dumbest-girl-alive/1655225317?i=1655225321,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,2,1,2,757,100 gecs,126427,1655225324,,https://music.apple.com/us/album/757/1655225317?i=1655225324,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,3,1,3,Hollywood Baby,100 gecs,187693,1655225508,,https://music.apple.com/us/album/hollywood-baby/1655225317?i=1655225508,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,4,1,4,Frog On The Floor,100 gecs,161680,1655225510,,https://music.apple.com/us/album/frog-on-the-floor/1655225317?i=1655225510,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,5,1,5,Doritos & Fritos,100 gecs,196893,1655225514,,https://music.apple.com/us/album/doritos-fritos/1655225317?i=1655225514,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,6,1,6,Billy Knows Jamie,100 gecs,163600,1655225626,,https://music.apple.com/us/album/billy-knows-jamie/1655225317?i=1655225626,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,7,1,7,One Million Dollars,100 gecs,120427,1655225628,,https://music.apple.com/us/album/one-million-dollars/1655225317?i=1655225628,true
album|100 gecs|10 000 gecs,100 gecs,"10,000 gecs",2023,1,119,musicbrainz_ws2,1655225317,165ab959-cc45-441d-8d7d-e5f300c1d9c9,8,1,8,The Most Wanted Person In The United States,100 gecs,155800,1655225634,,https://music.apple.com/us/album/the-most-wanted-person-in-the-united-states/1655225317?i=1655225634,true
