v1_membership_id,candidate_identity_key,archetype_id,primary_archetype,candidate_type,artist_display_name,title,year,import_class,version_or_composition_risk,risk_status,resolution_status,version_notes,pm_multi_membership_status
v1m_00001,song|fats domino|ain t that a shame,001,Early Rock & Roll Foundations,song,Fats Domino,Ain't That a Shame,1955,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00002,song|elvis presley|all shook up,001,Early Rock & Roll Foundations,song,Elvis Presley,All Shook Up,1957,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00003,song|gene vincent|be bop a lula,001,Early Rock & Roll Foundations,song,Gene Vincent,Be-Bop-A-Lula,1956,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00004,song|carl perkins|blue suede shoes,001,Early Rock & Roll Foundations,song,Carl Perkins,Blue Suede Shoes,1955,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00005,song|fats domino|blueberry hill,001,Early Rock & Roll Foundations,song,Fats Domino,Blueberry Hill,1956,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00006,song|bo diddley|bo diddley,001,Early Rock & Roll Foundations,song,Bo Diddley,Bo Diddley,1955,boundary_candidate,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00007,song|everly brothers|bye bye love,001,Early Rock & Roll Foundations,song,The Everly Brothers,Bye Bye Love,1957,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00008,song|everly brothers|cathy s clown,001,Early Rock & Roll Foundations,song,The Everly Brothers,Cathy's Clown,1960,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00009,song|coasters|charlie brown,001,Early Rock & Roll Foundations,song,The Coasters,Charlie Brown,1959,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00010,song|elvis presley|don t be cruel,001,Early Rock & Roll Foundations,song,Elvis Presley,Don't Be Cruel,1956,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00011,song|ritchie valens|donna,001,Early Rock & Roll Foundations,song,Ritchie Valens,Donna,1958,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Song-first,not_applicable
v1m_00012,song|bobby darin|dream lover,001,Early Rock & Roll Foundations,song,Bobby Darin,Dream Lover,1959,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00013,song|buddy holly|everyday,001,Early Rock & Roll Foundations,song,Buddy Holly,Everyday,1957,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
v1m_00014,song|little richard|good golly miss molly,001,Early Rock & Roll Foundations,song,Little Richard,"Good Golly, Miss Molly",1958,core_graph_playable,none,resolved,ready_for_apple_id_resolution,Artist-worthy,not_applicable
