deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,error_message,raw_payload_persisted
album_sidecar_album:album|2baba|grass 2 grace:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|2baba|grass 2 grace,album_sidecar_album,album,2Baba,Grass 2 Grace,2006,us,album_variant_no_safe_match,21,42,,false
album_sidecar_album:album|a ap rocky|long live a ap:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|a ap rocky|long live a ap,album_sidecar_album,album,A$AP Rocky,Long.Live.A$AP,2013,us,album_variant_no_safe_match,22,115,,false
album_sidecar_album:album|a tribe called quest|people s instinctive travels and the paths of rhythm:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|a tribe called quest|people s instinctive travels and the paths of rhythm,album_sidecar_album,album,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm,1990,us,album_variant_no_safe_match,16,116,,false
album_sidecar_album:album|ali farka toure and ry cooder|talking timbuktu:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|ali farka toure and ry cooder|talking timbuktu,album_sidecar_album,album,Ali Farka Toure and Ry Cooder,Talking Timbuktu,1994,us,album_variant_no_safe_match,1,66,,false
album_sidecar_album:album|allman brothers band|at fillmore east:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|allman brothers band|at fillmore east,album_sidecar_album,album,The Allman Brothers Band,At Fillmore East,1971,us,album_variant_no_safe_match,26,66,,false
album_sidecar_album:album|andrae crouch|live in london:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|andrae crouch|live in london,album_sidecar_album,album,Andrae Crouch,Live in London,1978,us,album_variant_no_safe_match,16,54,,false
album_sidecar_album:album|animals|animals:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|animals|animals,album_sidecar_album,album,The Animals,The Animals,1964,us,album_variant_no_safe_match,23,109,,false
album_sidecar_album:album|aretha franklin|amazing grace:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|aretha franklin|amazing grace,album_sidecar_album,album,Aretha Franklin,Amazing Grace,1972,us,album_variant_no_safe_match,26,66,,false
album_sidecar_album:album|bad brains|bad brains:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|bad brains|bad brains,album_sidecar_album,album,Bad Brains,Bad Brains,1982,us,album_variant_no_safe_match,15,60,,false
album_sidecar_album:album|beach boys|surfin u s a:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|beach boys|surfin u s a,album_sidecar_album,album,The Beach Boys,Surfin' U.S.A.,1963,us,album_variant_no_safe_match,29,106,,false
album_sidecar_album:album|beat|beat:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|beat|beat,album_sidecar_album,album,The Beat,The Beat,1979,us,album_variant_no_safe_match,23,144,,false
album_sidecar_album:album|bethel music|we will not be shaken:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|bethel music|we will not be shaken,album_sidecar_album,album,Bethel Music,We Will Not Be Shaken,2015,us,album_variant_no_safe_match,26,120,,false
album_sidecar_album:album|big black|songs about fucking:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|big black|songs about fucking,album_sidecar_album,album,Big Black,Songs About Fucking,1987,us,album_variant_no_safe_match,15,109,,false
album_sidecar_album:album|bikini kill|pussy whipped:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|bikini kill|pussy whipped,album_sidecar_album,album,Bikini Kill,Pussy Whipped,1993,us,album_variant_no_safe_match,15,114,,false
album_sidecar_album:album|bill evans trio|waltz for debby:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|bill evans trio|waltz for debby,album_sidecar_album,album,Bill Evans Trio,Waltz for Debby,1962,us,album_variant_no_safe_match,31,93,,false
album_sidecar_album:album|bing crosby|merry christmas:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|bing crosby|merry christmas,album_sidecar_album,album,Bing Crosby,Merry Christmas,1945,us,album_variant_no_safe_match,35,72,,false
album_sidecar_album:album|brent faiyaz|fuck the world:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|brent faiyaz|fuck the world,album_sidecar_album,album,Brent Faiyaz,Fuck the World,2020,us,album_variant_no_safe_match,26,93,,false
album_sidecar_album:album|bsd u|late night bumps:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|bsd u|late night bumps,album_sidecar_album,album,bsd.u,Late Night Bumps,2014,us,album_variant_no_safe_match,15,90,,false
album_sidecar_album:album|buck owens|carnegie hall concert:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|buck owens|carnegie hall concert,album_sidecar_album,album,Buck Owens,Carnegie Hall Concert,1966,us,album_variant_no_safe_match,15,58,,false
album_sidecar_album:album|buena vista social club|buena vista social club presents ibrahim ferrer:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|buena vista social club|buena vista social club presents ibrahim ferrer,album_sidecar_album,album,Buena Vista Social Club,Buena Vista Social Club Presents Ibrahim Ferrer,1999,us,album_variant_no_safe_match,2,90,,false
album_sidecar_album:album|captain beefheart and his magic band|trout mask replica:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|captain beefheart and his magic band|trout mask replica,album_sidecar_album,album,Captain Beefheart & His Magic Band,Trout Mask Replica,1969,us,album_variant_no_safe_match,15,34,,false
album_sidecar_album:album|cheap trick|cheap trick at budokan:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|cheap trick|cheap trick at budokan,album_sidecar_album,album,Cheap Trick,Cheap Trick at Budokan,1978,us,album_variant_no_safe_match,8,77,,false
album_sidecar_album:album|chiffons|chiffons:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|chiffons|chiffons,album_sidecar_album,album,The Chiffons,The Chiffons,1963,us,album_variant_no_safe_match,21,88,,false
album_sidecar_album:album|collins kids|hop skip and jump:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|collins kids|hop skip and jump,album_sidecar_album,album,The Collins Kids,"Hop, Skip and Jump",1991,us,album_variant_no_safe_match,15,43,,false
album_sidecar_album:album|crests|best of the crests:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|crests|best of the crests,album_sidecar_album,album,The Crests,The Best of the Crests,1962,us,album_variant_no_safe_match,40,24,,false
album_sidecar_album:album|curtis mayfield|super fly:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|curtis mayfield|super fly,album_sidecar_album,album,Curtis Mayfield,Super Fly,1972,us,album_variant_no_safe_match,24,67,,false
album_sidecar_album:album|curve|doppelganger:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|curve|doppelganger,album_sidecar_album,album,Curve,Doppelganger,1992,us,album_variant_no_safe_match,15,50,,false
album_sidecar_album:album|danny elfman|batman:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|danny elfman|batman,album_sidecar_album,album,Danny Elfman,Batman,1989,us,album_variant_no_safe_match,28,87,,false
album_sidecar_album:album|def leppard|vault def leppard greatest hits 1980 1995:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|def leppard|vault def leppard greatest hits 1980 1995,album_sidecar_album,album,Def Leppard,Vault: Def Leppard Greatest Hits 1980-1995,1995,us,album_variant_no_safe_match,17,98,,false
album_sidecar_album:album|dinosaur jr|youre living all over me:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|dinosaur jr|youre living all over me,album_sidecar_album,album,Dinosaur Jr.,Youre Living All Over Me,1987,us,album_variant_no_safe_match,17,107,,false
album_sidecar_album:album|disclosure|caracal:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|disclosure|caracal,album_sidecar_album,album,Disclosure,Caracal,2015,us,album_variant_no_safe_match,15,100,,false
album_sidecar_album:album|disclosure|settle:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|disclosure|settle,album_sidecar_album,album,Disclosure,Settle,2013,us,album_variant_no_safe_match,19,117,,false
album_sidecar_album:album|dj quik|safe sound:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|dj quik|safe sound,album_sidecar_album,album,DJ Quik,Safe + Sound,1995,us,album_variant_no_safe_match,21,94,,false
album_sidecar_album:album|dna|a taste of dna:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|dna|a taste of dna,album_sidecar_album,album,DNA,A Taste of DNA,1981,us,album_variant_no_safe_match,6,0,,false
album_sidecar_album:album|donovan|wear your love like heaven:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|donovan|wear your love like heaven,album_sidecar_album,album,Donovan,Wear Your Love Like Heaven,1967,us,album_variant_no_safe_match,16,45,,false
album_sidecar_album:album|drake|take care:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|drake|take care,album_sidecar_album,album,Drake,Take Care,2011,us,album_variant_no_safe_match,29,117,,false
album_sidecar_album:album|duke ellington|ellington at newport:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|duke ellington|ellington at newport,album_sidecar_album,album,Duke Ellington,Ellington at Newport,1956,us,album_variant_no_safe_match,5,121,,false
album_sidecar_album:album|eevee|seeds:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|eevee|seeds,album_sidecar_album,album,eevee,Seeds,2017,us,album_variant_no_safe_match,15,55,,false
album_sidecar_album:album|el gran combo de puerto rico|aqui no se sienta nadie:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|el gran combo de puerto rico|aqui no se sienta nadie,album_sidecar_album,album,El Gran Combo de Puerto Rico,Aqui No Se Sienta Nadie,1979,us,album_variant_no_safe_match,15,114,,false
album_sidecar_album:album|el p|fantastic damage:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|el p|fantastic damage,album_sidecar_album,album,El-P,Fantastic Damage,2002,us,album_variant_no_safe_match,10,101,,false
album_sidecar_album:album|exo|war:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|exo|war,album_sidecar_album,album,EXO,The War,2017,us,album_variant_no_safe_match,28,114,,false
album_sidecar_album:album|fania all stars|live at the cheetah vol 1:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|fania all stars|live at the cheetah vol 1,album_sidecar_album,album,Fania All-Stars,"Live at the Cheetah, Vol. 1",1972,us,album_variant_no_safe_match,6,66,,false
album_sidecar_album:album|fats domino|this is fats domino:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|fats domino|this is fats domino,album_sidecar_album,album,Fats Domino,This Is Fats Domino!,1956,us,album_variant_no_safe_match,10,94,,false
album_sidecar_album:album|flatlanders|more a legend than a band:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|flatlanders|more a legend than a band,album_sidecar_album,album,The Flatlanders,More a Legend Than a Band,1990,us,album_variant_no_safe_match,12,8,,false
album_sidecar_album:album|frank sinatra|come fly with me:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|frank sinatra|come fly with me,album_sidecar_album,album,Frank Sinatra,Come Fly with Me,1958,us,album_variant_no_safe_match,34,78,,false
album_sidecar_album:album|frank zappa|lumpy gravy:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|frank zappa|lumpy gravy,album_sidecar_album,album,Frank Zappa,Lumpy Gravy,1968,us,album_variant_no_safe_match,4,62,,false
album_sidecar_album:album|fred neil|bleecker and macdougal:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|fred neil|bleecker and macdougal,album_sidecar_album,album,Fred Neil,Bleecker & MacDougal,1965,us,album_variant_no_safe_match,1,114,,false
album_sidecar_album:album|fugs|it crawled into my hand honest:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|fugs|it crawled into my hand honest,album_sidecar_album,album,The Fugs,"It Crawled Into My Hand, Honest",1968,us,album_variant_no_safe_match,1,0,,false
album_sidecar_album:album|funkadelic|one nation under a groove:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|funkadelic|one nation under a groove,album_sidecar_album,album,Funkadelic,One Nation Under a Groove,1978,us,album_variant_no_safe_match,18,66,,false
album_sidecar_album:album|garth brooks|no fences:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|garth brooks|no fences,album_sidecar_album,album,Garth Brooks,No Fences,1990,us,album_variant_no_safe_match,32,46,,false
album_sidecar_album:album|garth brooks|ropin the wind:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|garth brooks|ropin the wind,album_sidecar_album,album,Garth Brooks,Ropin' the Wind,1991,us,album_variant_no_safe_match,16,46,,false
album_sidecar_album:album|gene vincent|bluejean bop:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|gene vincent|bluejean bop,album_sidecar_album,album,Gene Vincent,Bluejean Bop!,1958,us,album_variant_no_safe_match,3,72,,false
album_sidecar_album:album|gene vincent|gene vincent and his blue caps:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|gene vincent|gene vincent and his blue caps,album_sidecar_album,album,Gene Vincent,Gene Vincent and His Blue Caps,1957,us,album_variant_no_safe_match,8,49,,false
album_sidecar_album:album|genesis|foxtrot:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|genesis|foxtrot,album_sidecar_album,album,Genesis,Foxtrot,1972,us,album_variant_no_safe_match,15,100,,false
album_sidecar_album:album|genesis|selling england by the pound:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|genesis|selling england by the pound,album_sidecar_album,album,Genesis,Selling England by the Pound,1973,us,album_variant_no_safe_match,7,91,,false
album_sidecar_album:album|grateful dead|live dead:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|grateful dead|live dead,album_sidecar_album,album,Grateful Dead,Live/Dead,1969,us,album_variant_no_safe_match,29,82,,false
album_sidecar_album:album|hall and oates|private eyes:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|hall and oates|private eyes,album_sidecar_album,album,Hall & Oates,Private Eyes,1981,us,album_variant_no_safe_match,29,120,,false
album_sidecar_album:album|hanoi rocks|two steps from the move:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|hanoi rocks|two steps from the move,album_sidecar_album,album,Hanoi Rocks,Two Steps from the Move,1984,us,album_variant_no_safe_match,15,22,,false
album_sidecar_album:album|harptones|life is but a dream:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|harptones|life is but a dream,album_sidecar_album,album,The Harptones,Life Is But a Dream,1990,us,album_variant_no_safe_match,18,70,,false
album_sidecar_album:album|idealism|rainy evening:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|idealism|rainy evening,album_sidecar_album,album,idealism,rainy evening,2016,us,album_variant_no_safe_match,15,116,,false
album_sidecar_album:album|idle race|birthday party:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|idle race|birthday party,album_sidecar_album,album,The Idle Race,The Birthday Party,1968,us,album_variant_no_safe_match,15,50,,false
album_sidecar_album:album|jackie wilson|mr excitement:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|jackie wilson|mr excitement,album_sidecar_album,album,Jackie Wilson,Mr. Excitement!,1962,us,album_variant_no_safe_match,17,71,,false
album_sidecar_album:album|james brown|live at the apollo:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|james brown|live at the apollo,album_sidecar_album,album,James Brown,Live at the Apollo,1963,us,album_variant_no_safe_match,33,74,,false
album_sidecar_album:album|jeff mills|waveform transmission vol 1:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|jeff mills|waveform transmission vol 1,album_sidecar_album,album,Jeff Mills,Waveform Transmission Vol. 1,1992,us,album_variant_no_safe_match,4,32,,false
album_sidecar_album:album|jerry jeff walker|viva terlingua:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|jerry jeff walker|viva terlingua,album_sidecar_album,album,Jerry Jeff Walker,Viva Terlingua,1973,us,album_variant_no_safe_match,3,66,,false
album_sidecar_album:album|jesus culture|your love never fails:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|jesus culture|your love never fails,album_sidecar_album,album,Jesus Culture,Your Love Never Fails,2008,us,album_variant_no_safe_match,22,66,,false
album_sidecar_album:album|jethro tull|thick as a brick:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|jethro tull|thick as a brick,album_sidecar_album,album,Jethro Tull,Thick as a Brick,1972,us,album_variant_no_safe_match,17,66,,false
album_sidecar_album:album|joan baez|in concert:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|joan baez|in concert,album_sidecar_album,album,Joan Baez,In Concert,1962,us,album_variant_no_safe_match,29,78,,false
album_sidecar_album:album|joff bush|bluey the album:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|joff bush|bluey the album,album_sidecar_album,album,Joff Bush,Bluey: The Album,2021,us,album_variant_no_safe_match,20,68,,false
album_sidecar_album:album|john williams|star wars:album_variant_no_safe_match,apple_music_album_variant_pass_v1,album|john williams|star wars,album_sidecar_album,album,John Williams,Star Wars,1977,us,album_variant_no_safe_match,26,114,,false
