deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,apple_artist_id,artist_id_source,candidate_count,best_score,best_candidate_id,best_candidate_title,best_candidate_variant,error_message,prior_review_reason,raw_payload_persisted
graph_album:album|2baba|grass 2 grace:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|2baba|grass 2 grace,graph_album,album,2Baba,Grass 2 Grace,2006,us,artist_album_resolver_no_safe_album_match,924923478,apple_artist_search_ephemeral,2,16,215590267,For Instance - Single,,,apple_album_search_no_auto_match,false
graph_album:album|a tribe called quest|people s instinctive travels and the paths of rhythm:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|a tribe called quest|people s instinctive travels and the paths of rhythm,graph_album,album,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm,1990,us,artist_album_resolver_no_safe_album_match,1587965,existing_graph_artist_link,9,40,265670545,Midnight Marauders,,,apple_album_search_no_auto_match,false
graph_album:album|ali farka toure and ry cooder|talking timbuktu:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|ali farka toure and ry cooder|talking timbuktu,graph_album,album,Ali Farka Toure and Ry Cooder,Talking Timbuktu,1994,us,artist_album_resolver_no_safe_album_match,7420807,apple_artist_search_ephemeral,4,73,1528519970,Talking Timbuktu (with Ry Cooder),,,apple_album_search_no_auto_match,false
graph_album:album|allman brothers band|at fillmore east:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|allman brothers band|at fillmore east,graph_album,album,The Allman Brothers Band,At Fillmore East,1971,us,artist_album_resolver_no_safe_album_match,127835,existing_graph_artist_link,13,45,1469584912,Eat a Peach,,,apple_album_search_no_auto_match,false
graph_album:album|andrae crouch|live in london:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|andrae crouch|live in london,graph_album,album,Andrae Crouch,Live in London,1978,us,artist_album_resolver_no_safe_album_match,160991,existing_graph_artist_link,7,40,262497615,I'll Be Thinking of You,,,apple_album_search_no_auto_match,false
graph_album:album|aretha franklin|amazing grace:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|aretha franklin|amazing grace,graph_album,album,Aretha Franklin,Amazing Grace,1972,us,artist_album_resolver_no_safe_album_match,98742,existing_graph_artist_link,12,52,284526020,Amazing Grace: The Complete Recordings (Live),,,apple_album_search_no_auto_match,false
graph_album:album|bad brains|bad brains:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|bad brains|bad brains,graph_album,album,Bad Brains,Bad Brains,1982,us,artist_album_resolver_no_safe_album_match,6562656,existing_graph_artist_link,2,60,1302287380,Rock for Light (Remastered),,,apple_album_search_no_auto_match,false
graph_album:album|beach boys|surfin u s a:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|beach boys|surfin u s a,graph_album,album,The Beach Boys,Surfin' U.S.A.,1963,us,artist_album_resolver_no_safe_album_match,562555,existing_graph_artist_link,25,35,1440841241,Pet Sounds,,,apple_album_search_no_auto_match,false
graph_album:album|beat|beat:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|beat|beat,graph_album,album,The Beat,The Beat,1979,us,artist_album_resolver_no_safe_album_match,974285668,apple_artist_search_ephemeral,0,,,,,,apple_album_search_no_auto_match,false
graph_album:album|bethel music|we will not be shaken:artist_album_resolver_no_safe_album_match,apple_music_artist_album_resolver_pass_v1,album|bethel music|we will not be shaken,graph_album,album,Bethel Music,We Will Not Be Shaken,2015,us,artist_album_resolver_no_safe_album_match,480438107,existing_graph_artist_link,21,7,1748006383,Stand In Your Love (Radio Version) - Single,,,apple_album_search_no_auto_match,false
