deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_result_rank,best_reject_reason,prior_review_reason,error_message,raw_payload_persisted
graph_song:song||me and giuliani down by the school yard:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song||me and giuliani down by the school yard,graph_song,song,!!!,Me and Giuliani Down by the School Yard,2003,us,direct_song_search_no_auto_match,10,44,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|13th floor elevators|reverberation:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|13th floor elevators|reverberation,graph_song,song,13th Floor Elevators,Reverberation,1966,us,direct_song_search_no_auto_match,10,74,3,,apple_song_search_no_auto_match,,false
graph_song:song|2 live crew|me so horny:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|2 live crew|me so horny,graph_song,song,2 Live Crew,Me So Horny,1989,us,direct_song_search_no_auto_match,8,75,2,,apple_song_search_needs_review_version_risk,,false
graph_song:song|30 seconds to mars|kill:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|30 seconds to mars|kill,graph_song,song,30 Seconds to Mars,The Kill,2005,us,direct_song_search_no_auto_match,10,44,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|7 seconds|were gonna fight:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|7 seconds|were gonna fight,graph_song,song,7 Seconds,Were Gonna Fight,1984,us,direct_song_search_no_auto_match,10,73,2,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|88rising joji and rich brian|midsummer madness:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|88rising joji and rich brian|midsummer madness,graph_song,song,"88rising, Joji and Rich Brian",Midsummer Madness,2018,us,direct_song_search_no_auto_match,3,78,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|action|i ll keep holding on:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|action|i ll keep holding on,graph_song,song,The Action,I'll Keep Holding On,1966,us,direct_song_search_no_auto_match,10,48,1,title_not_matched,apple_song_search_needs_review_version_risk,,false
graph_song:song|alexandre desplat|grand budapest hotel:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|alexandre desplat|grand budapest hotel,graph_song,song,Alexandre Desplat,The Grand Budapest Hotel,2014,us,direct_song_search_no_auto_match,10,87,6,compatible_artist_without_tight_year,apple_song_search_needs_review_version_risk,,false
graph_song:song|allman brothers band|one way out:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|allman brothers band|one way out,graph_song,song,The Allman Brothers Band,One Way Out,1972,us,direct_song_search_no_auto_match,10,69,4,,apple_song_search_needs_review_version_risk,,false
graph_song:song|aly us|follow me:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|aly us|follow me,graph_song,song,Aly-Us,Follow Me,1992,us,direct_song_search_no_auto_match,10,71,2,,apple_song_search_no_auto_match,,false
graph_song:song|andrea bocelli and sarah brightman|time to say goodbye:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|andrea bocelli and sarah brightman|time to say goodbye,graph_song,song,Andrea Bocelli and Sarah Brightman,Time to Say Goodbye,1996,us,direct_song_search_no_auto_match,10,71,4,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|antonio aguilar|tristes recuerdos:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|antonio aguilar|tristes recuerdos,graph_song,song,Antonio Aguilar,Tristes Recuerdos,1973,us,direct_song_search_no_auto_match,10,64,3,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|anuel aa daddy yankee karol g ozuna and j balvin|china:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|anuel aa daddy yankee karol g ozuna and j balvin|china,graph_song,song,"Anuel AA, Daddy Yankee, Karol G, Ozuna and J Balvin",China,2019,us,direct_song_search_no_auto_match,10,78,1,artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|aphex twin|come to daddy:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|aphex twin|come to daddy,graph_song,song,Aphex Twin,Come to Daddy,1997,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_needs_review_version_risk,,false
graph_song:song|aphex twin|girl boy song:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|aphex twin|girl boy song,graph_song,song,Aphex Twin,Girl/Boy Song,1996,us,direct_song_search_no_auto_match,10,76,1,,apple_song_search_no_auto_match,,false
graph_song:song|aso|snacks:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|aso|snacks,graph_song,song,Aso,Snacks,2016,us,direct_song_search_no_auto_match,10,12,1,title_not_matched;artist_not_matched,apple_song_search_no_auto_match,,false
graph_song:song|axwell and ingrosso|more than you know:direct_song_search_no_auto_match,apple_music_direct_song_hardening_pass_v1,song|axwell and ingrosso|more than you know,graph_song,song,Axwell & Ingrosso,More Than You Know,2017,us,direct_song_search_no_auto_match,10,78,1,artist_not_matched,apple_song_search_no_auto_match,,false
