deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_result_rank,best_reject_reason,prior_review_reason,prior_best_reject_reason,error_message,raw_payload_persisted
graph_song:song||me and giuliani down by the school yard:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song||me and giuliani down by the school yard,graph_song,song,!!!,Me and Giuliani Down by the School Yard,2003,us,direct_song_hardening_v2_no_auto_match,10,48,1,title_not_strong_enough,apple_song_search_no_auto_match,artist_not_matched,,false
graph_song:song|13th floor elevators|reverberation:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|13th floor elevators|reverberation,graph_song,song,13th Floor Elevators,Reverberation,1966,us,direct_song_hardening_v2_no_auto_match,10,80,3,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|2 live crew|me so horny:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|2 live crew|me so horny,graph_song,song,2 Live Crew,Me So Horny,1989,us,direct_song_hardening_v2_no_auto_match,8,81,2,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|30 seconds to mars|kill:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|30 seconds to mars|kill,graph_song,song,30 Seconds to Mars,The Kill,2005,us,direct_song_hardening_v2_no_auto_match,10,48,1,title_not_strong_enough,apple_song_search_no_auto_match,artist_not_matched,,false
graph_song:song|action|i ll keep holding on:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|action|i ll keep holding on,graph_song,song,The Action,I'll Keep Holding On,1966,us,direct_song_hardening_v2_no_auto_match,10,50,1,title_not_matched,apple_song_search_needs_review_version_risk,title_not_matched,,false
graph_song:song|allman brothers band|one way out:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|allman brothers band|one way out,graph_song,song,The Allman Brothers Band,One Way Out,1972,us,direct_song_hardening_v2_no_auto_match,10,75,4,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|aly us|follow me:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|aly us|follow me,graph_song,song,Aly-Us,Follow Me,1992,us,direct_song_hardening_v2_no_auto_match,10,77,2,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|antonio aguilar|tristes recuerdos:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|antonio aguilar|tristes recuerdos,graph_song,song,Antonio Aguilar,Tristes Recuerdos,1973,us,direct_song_hardening_v2_no_auto_match,10,64,3,artist_not_matched,apple_song_search_no_auto_match,artist_not_matched,,false
graph_song:song|aphex twin|come to daddy:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|aphex twin|come to daddy,graph_song,song,Aphex Twin,Come to Daddy,1997,us,direct_song_hardening_v2_no_auto_match,10,82,1,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|aphex twin|girl boy song:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|aphex twin|girl boy song,graph_song,song,Aphex Twin,Girl/Boy Song,1996,us,direct_song_hardening_v2_no_auto_match,10,82,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|aso|snacks:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|aso|snacks,graph_song,song,Aso,Snacks,2016,us,direct_song_hardening_v2_no_auto_match,10,12,1,title_not_matched,apple_song_search_no_auto_match,title_not_matched;artist_not_matched,,false
graph_song:song|babatunde olatunji|jin go lo ba:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|babatunde olatunji|jin go lo ba,graph_song,song,Babatunde Olatunji,Jin-Go-Lo-Ba,1959,us,direct_song_hardening_v2_no_auto_match,2,82,1,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|babe rainbow|something:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|babe rainbow|something,graph_song,song,Babe Rainbow,Something,2017,us,direct_song_hardening_v2_no_auto_match,10,81,2,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|barbarians|moulty:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|barbarians|moulty,graph_song,song,The Barbarians,Moulty,1966,us,direct_song_hardening_v2_no_auto_match,7,48,3,title_not_matched,apple_song_search_no_auto_match,title_not_matched,,false
graph_song:song|basic channel|phylyps trak ii:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|basic channel|phylyps trak ii,graph_song,song,Basic Channel,Phylyps Trak II,1994,us,direct_song_hardening_v2_no_auto_match,10,82,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|basic channel|quadrant dub:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|basic channel|quadrant dub,graph_song,song,Basic Channel,Quadrant Dub,1994,us,direct_song_hardening_v2_no_auto_match,4,82,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|ben e king|don t play that song:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|ben e king|don t play that song,graph_song,song,Ben E. King,Don't Play That Song,1962,us,direct_song_hardening_v2_no_auto_match,10,82,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|benjamin bratt|remember me:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|benjamin bratt|remember me,graph_song,song,Benjamin Bratt,Remember Me,2017,us,direct_song_hardening_v2_no_auto_match,7,74,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|bernard herrmann|prelude from psycho:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|bernard herrmann|prelude from psycho,graph_song,song,Bernard Herrmann,Prelude from Psycho,1960,us,direct_song_hardening_v2_no_auto_match,10,78,5,title_not_strong_enough,apple_song_search_needs_review_version_risk,artist_not_matched,,false
graph_song:song|big l|ebonics:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|big l|ebonics,graph_song,song,Big L,Ebonics,1998,us,direct_song_hardening_v2_no_auto_match,5,78,1,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|big pun feat fat joe|twinz deep cover 98:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|big pun feat fat joe|twinz deep cover 98,graph_song,song,Big Pun feat. Fat Joe,Twinz (Deep Cover 98),1998,us,direct_song_hardening_v2_no_auto_match,10,68,7,title_not_strong_enough,apple_song_search_needs_review_version_risk,compatible_artist_without_tight_year,,false
graph_song:song|billy joe shaver|honky tonk heroes:direct_song_hardening_v2_version_term_needs_review,apple_music_direct_song_hardening_pass_v2,song|billy joe shaver|honky tonk heroes,graph_song,song,Billy Joe Shaver,Honky Tonk Heroes,1973,us,direct_song_hardening_v2_version_term_needs_review,10,49,1,version_term:live,apple_song_search_no_auto_match,version_term:live,,false
graph_song:song|black dog|virtual:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|black dog|virtual,graph_song,song,The Black Dog,Virtual,1990,us,direct_song_hardening_v2_no_auto_match,3,36,1,title_not_strong_enough,apple_song_search_needs_review_version_risk,artist_not_matched,,false
graph_song:song|black star feat common|respiration flying high remix:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|black star feat common|respiration flying high remix,graph_song,song,Black Star feat. Common,Respiration (Flying High Remix),1999,us,direct_song_hardening_v2_no_auto_match,9,78,1,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|bobby shmurda|hot n:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|bobby shmurda|hot n,graph_song,song,Bobby Shmurda,Hot N****,2014,us,direct_song_hardening_v2_no_auto_match,10,81,2,title_not_strong_enough,apple_song_search_needs_review_version_risk,,,false
graph_song:song|body count|cop killer:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|body count|cop killer,graph_song,song,Body Count,Cop Killer,1992,us,direct_song_hardening_v2_no_auto_match,10,63,8,artist_not_matched,apple_song_search_needs_review_version_risk,artist_not_matched,,false
graph_song:song|bsd u|lighter:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|bsd u|lighter,graph_song,song,bsd.u,Lighter,2015,us,direct_song_hardening_v2_no_auto_match,10,50,1,title_not_matched,apple_song_search_no_auto_match,title_not_matched,,false
graph_song:song|bsd u|peach:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|bsd u|peach,graph_song,song,bsd.u,peach,2014,us,direct_song_hardening_v2_no_auto_match,2,16,1,title_not_matched,apple_song_search_no_auto_match,title_not_matched;artist_not_matched,,false
graph_song:song|buzzcocks|ever fallen in love:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|buzzcocks|ever fallen in love,graph_song,song,Buzzcocks,Ever Fallen in Love,1978,us,direct_song_hardening_v2_no_auto_match,10,82,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|cajmere featuring dajae|brighter days:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|cajmere featuring dajae|brighter days,graph_song,song,Cajmere featuring Dajae,Brighter Days,1992,us,direct_song_hardening_v2_no_auto_match,10,78,1,title_not_strong_enough,apple_song_search_no_auto_match,,,false
graph_song:song|cajmere|percolator:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|cajmere|percolator,graph_song,song,Cajmere,Percolator,1992,us,direct_song_hardening_v2_no_auto_match,10,92,5,single_artist_only_featured_without_tight_year,apple_song_search_no_auto_match,,,false
graph_song:song|captain beefheart and his magic band|moonlight on vermont:direct_song_hardening_v2_version_term_needs_review,apple_music_direct_song_hardening_pass_v2,song|captain beefheart and his magic band|moonlight on vermont,graph_song,song,Captain Beefheart & His Magic Band,Moonlight on Vermont,1969,us,direct_song_hardening_v2_version_term_needs_review,10,43,3,version_term:live,apple_song_search_no_auto_match,version_term:live,,false
graph_song:song|ceelo green|closet freak:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|ceelo green|closet freak,graph_song,song,CeeLo Green,Closet Freak,2002,us,direct_song_hardening_v2_no_auto_match,10,68,2,artist_not_matched,apple_song_search_no_auto_match,artist_not_matched,,false
graph_song:song|channel one|technicolor:direct_song_hardening_v2_no_auto_match,apple_music_direct_song_hardening_pass_v2,song|channel one|technicolor,graph_song,song,Channel One,Technicolor,1986,us,direct_song_hardening_v2_no_auto_match,1,66,1,artist_not_matched,apple_song_search_no_auto_match,artist_not_matched,,false
