deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,candidate_apple_id_count,strongest_basis_suffix,best_score,best_result_rank,best_reject_reason,prior_review_reason,prior_best_reject_reason,error_message,raw_payload_persisted
graph_song:song||me and giuliani down by the school yard:iterative_song_hardening_no_auto_match,apple_music_graph_song_iterative_hardening_pass_v1,song||me and giuliani down by the school yard,graph_song,song,!!!,Me and Giuliani Down by the School Yard,2003,us,iterative_song_hardening_no_auto_match,10,,,70,1,artist_not_matched,apple_song_search_no_auto_match,title_not_strong_enough,,false
graph_song:song|2 live crew|me so horny:iterative_song_hardening_no_auto_match,apple_music_graph_song_iterative_hardening_pass_v1,song|2 live crew|me so horny,graph_song,song,2 Live Crew,Me So Horny,1989,us,iterative_song_hardening_no_auto_match,8,,,58,6,artist_not_matched,apple_song_search_needs_review_version_risk,title_not_strong_enough,,false
graph_song:song|30 seconds to mars|kill:iterative_song_hardening_no_auto_match,apple_music_graph_song_iterative_hardening_pass_v1,song|30 seconds to mars|kill,graph_song,song,30 Seconds to Mars,The Kill,2005,us,iterative_song_hardening_no_auto_match,13,,,70,1,artist_not_matched,apple_song_search_no_auto_match,title_not_strong_enough,,false
graph_song:song|aly us|follow me:iterative_song_hardening_version_term_needs_review,apple_music_graph_song_iterative_hardening_pass_v1,song|aly us|follow me,graph_song,song,Aly-Us,Follow Me,1992,us,iterative_song_hardening_version_term_needs_review,12,,,74,1,version_term:club_mix;mix,apple_song_search_no_auto_match,title_not_strong_enough,,false
graph_song:song|antonio aguilar|tristes recuerdos:iterative_song_hardening_no_auto_match,apple_music_graph_song_iterative_hardening_pass_v1,song|antonio aguilar|tristes recuerdos,graph_song,song,Antonio Aguilar,Tristes Recuerdos,1973,us,iterative_song_hardening_no_auto_match,12,,,61,3,artist_not_matched,apple_song_search_no_auto_match,artist_not_matched,,false
graph_song:song|aphex twin|come to daddy:iterative_song_hardening_version_term_needs_review,apple_music_graph_song_iterative_hardening_pass_v1,song|aphex twin|come to daddy,graph_song,song,Aphex Twin,Come to Daddy,1997,us,iterative_song_hardening_version_term_needs_review,11,,,74,1,version_term:mix,apple_song_search_needs_review_version_risk,title_not_strong_enough,,false
graph_song:song|aso|snacks:iterative_song_hardening_no_auto_match,apple_music_graph_song_iterative_hardening_pass_v1,song|aso|snacks,graph_song,song,Aso,Snacks,2016,us,iterative_song_hardening_no_auto_match,20,,,63,20,artist_not_matched,apple_song_search_no_auto_match,title_not_matched,,false
graph_song:song|babe rainbow|something:iterative_song_hardening_no_auto_match,apple_music_graph_song_iterative_hardening_pass_v1,song|babe rainbow|something,graph_song,song,Babe Rainbow,Something,2017,us,iterative_song_hardening_no_auto_match,18,,,53,2,title_not_matched,apple_song_search_no_auto_match,title_not_strong_enough,,false
graph_song:song|barbarians|moulty:iterative_song_hardening_no_auto_match,apple_music_graph_song_iterative_hardening_pass_v1,song|barbarians|moulty,graph_song,song,The Barbarians,Moulty,1966,us,iterative_song_hardening_no_auto_match,7,,,49,3,title_not_matched,apple_song_search_no_auto_match,title_not_matched,,false
graph_song:song|basic channel|phylyps trak ii:iterative_song_hardening_ambiguous_close_candidate,apple_music_graph_song_iterative_hardening_pass_v1,song|basic channel|phylyps trak ii,graph_song,song,Basic Channel,Phylyps Trak II,1994,us,iterative_song_hardening_ambiguous_close_candidate,10,,,88,1,compatible_title_close_runner_up,apple_song_search_no_auto_match,title_not_strong_enough,,false
