deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_candidate_id,best_candidate_title,best_candidate_artist,best_candidate_basis,best_track_overlap_ratio,error_message,prior_review_reason,prior_best_candidate_id,raw_payload_persisted
graph_album:album|2baba|grass 2 grace:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|2baba|grass 2 grace,graph_album,album,2Baba,Grass 2 Grace,2006,us,high_confidence_album_no_safe_match,18,50,1833176342,Grass 2 Grace,Saint Next,,0.000,,apple_album_search_no_auto_match,215590267,false
graph_album:album|ali farka toure and ry cooder|talking timbuktu:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|ali farka toure and ry cooder|talking timbuktu,graph_album,album,Ali Farka Toure and Ry Cooder,Talking Timbuktu,1994,us,high_confidence_album_no_safe_match,1,84,1528519970,Talking Timbuktu (with Ry Cooder),Ali Farka Touré,,0.000,,apple_album_search_no_auto_match,1528519970,false
graph_album:album|allman brothers band|at fillmore east:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|allman brothers band|at fillmore east,graph_album,album,The Allman Brothers Band,At Fillmore East,1971,us,high_confidence_album_no_safe_match,57,99,1440833569,At Fillmore East (Live),The Allman Brothers Band,,0.000,,apple_album_search_no_auto_match,1469584912,false
graph_album:album|andrae crouch|live in london:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|andrae crouch|live in london,graph_album,album,Andrae Crouch,Live in London,1978,us,high_confidence_album_no_safe_match,33,155,305503778,Classic Gold: Live In London,Andraé Crouch & The Disciples,,0.920,,apple_album_search_no_auto_match,262497615,false
graph_album:album|aretha franklin|amazing grace:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|aretha franklin|amazing grace,graph_album,album,Aretha Franklin,Amazing Grace,1972,us,high_confidence_album_no_safe_match,43,83,1628093959,"Amazing Grace (Live at New Temple Missionary Baptist Church, Los Angeles, CA, 01/13/72)",Aretha Franklin,,0.000,,apple_album_search_no_auto_match,284526020,false
graph_album:album|bad brains|bad brains:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|bad brains|bad brains,graph_album,album,Bad Brains,Bad Brains,1982,us,high_confidence_album_no_safe_match,26,69,1302287380,Rock for Light (Remastered),Bad Brains,,0.333,,apple_album_search_no_auto_match,1302287380,false
graph_album:album|beach boys|surfin u s a:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|beach boys|surfin u s a,graph_album,album,The Beach Boys,Surfin' U.S.A.,1963,us,high_confidence_album_no_safe_match,33,167,1443101236,Surfin' USA,The Beach Boys,,1.000,,apple_album_search_no_auto_match,1440841241,false
graph_album:album|bing crosby|merry christmas:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|bing crosby|merry christmas,graph_album,album,Bing Crosby,Merry Christmas,1945,us,high_confidence_album_no_safe_match,57,90,1425234668,White Christmas,Bing Crosby,,0.400,,apple_album_search_no_auto_match,1425234668,false
graph_album:album|bsd u|late night bumps:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|bsd u|late night bumps,graph_album,album,bsd.u,Late Night Bumps,2014,us,high_confidence_album_no_safe_match,15,93,1828927475,"late night bumps, Vol. 1 - EP",[bsd.u],,0.556,,apple_album_search_no_auto_match,1882681151,false
graph_album:album|buena vista social club|buena vista social club presents ibrahim ferrer:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|buena vista social club|buena vista social club presents ibrahim ferrer,graph_album,album,Buena Vista Social Club,Buena Vista Social Club Presents Ibrahim Ferrer,1999,us,high_confidence_album_no_safe_match,2,68,1716598034,Buena Vista Social Club,Buena Vista Social Club,,0.000,,apple_album_search_no_auto_match,1716598034,false
graph_album:album|captain beefheart and his magic band|trout mask replica:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|captain beefheart and his magic band|trout mask replica,graph_album,album,Captain Beefheart & His Magic Band,Trout Mask Replica,1969,us,high_confidence_album_no_safe_match,22,65,137665947,Grow Fins: Rarities 1965-1982,Captain Beefheart & His Magic Band,,0.500,,apple_album_search_no_auto_match,290334563,false
graph_album:album|chiffons|chiffons:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|chiffons|chiffons,graph_album,album,The Chiffons,The Chiffons,1963,us,high_confidence_album_no_safe_match,14,111,1466690187,The Best of the Chiffons,The Chiffons,,0.600,,apple_album_search_no_auto_match,1466690187,false
graph_album:album|collins kids|hop skip and jump:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|collins kids|hop skip and jump,graph_album,album,The Collins Kids,"Hop, Skip and Jump",1991,us,high_confidence_album_no_safe_match,15,56,907564725,"Hop, Skip and Jump",Frank Virtue & The Virtues,,0.000,,apple_album_search_no_results,,false
graph_album:album|crests|best of the crests:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|crests|best of the crests,graph_album,album,The Crests,The Best of the Crests,1962,us,high_confidence_album_no_safe_match,7,44,867694889,The Best Of,Blur,,0.000,,apple_album_search_no_auto_match,,false
graph_album:album|curtis mayfield|super fly:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|curtis mayfield|super fly,graph_album,album,Curtis Mayfield,Super Fly,1972,us,high_confidence_album_no_safe_match,32,77,541496938,The Very Best of Curtis Mayfield,Curtis Mayfield,,0.500,,apple_album_search_no_auto_match,1067474758,false
graph_album:album|curve|doppelganger:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|curve|doppelganger,graph_album,album,Curve,Doppelganger,1992,us,high_confidence_album_no_safe_match,25,65,493682591,Doppelganger,The Fall of Troy,,0.000,,apple_album_search_no_results,,false
graph_album:album|dna|a taste of dna:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|dna|a taste of dna,graph_album,album,DNA,A Taste of DNA,1981,us,high_confidence_album_no_safe_match,4,45,360180209,A Taste Of…,Merzbow,,0.000,,apple_album_search_no_auto_match,,false
graph_album:album|duke ellington|ellington at newport:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|duke ellington|ellington at newport,graph_album,album,Duke Ellington,Ellington at Newport,1956,us,high_confidence_album_no_safe_match,5,149,902277483,Ellington at Newport: The Original Album,Duke Ellington and His Orchestra,,0.667,,apple_album_search_no_auto_match,999653079,false
graph_album:album|eevee|seeds:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|eevee|seeds,graph_album,album,eevee,Seeds,2017,us,high_confidence_album_no_safe_match,26,72,1440850001,Seeds,TV on the Radio,,0.000,,apple_album_search_no_results,1820295172,false
graph_album:album|el p|fantastic damage:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|el p|fantastic damage,graph_album,album,El-P,Fantastic Damage,2002,us,high_confidence_album_no_safe_match,3,129,1510478926,Fantastic Damage,Elp,,0.563,,apple_album_search_no_auto_match,,false
graph_album:album|fania all stars|live at the cheetah vol 1:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|fania all stars|live at the cheetah vol 1,graph_album,album,Fania All-Stars,"Live at the Cheetah, Vol. 1",1972,us,high_confidence_album_no_safe_match,6,152,1481517285,"Live At The Cheetah, Vol. 1 (Live)",Fania All-Stars,,0.500,,apple_album_search_no_auto_match,1481517285,false
graph_album:album|fats domino|this is fats domino:high_confidence_album_no_safe_match,apple_music_high_confidence_album_pass_v1,album|fats domino|this is fats domino,graph_album,album,Fats Domino,This Is Fats Domino!,1956,us,high_confidence_album_no_safe_match,13,84,1552756829,The Complete Imperial Singles,Fats Domino,,0.833,,apple_album_search_no_auto_match,1396311078,false
