review_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,review_reason,candidate_count,best_score,error_message,raw_payload_persisted
graph_album:album|2baba|grass 2 grace:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|2baba|grass 2 grace,graph_album,album,2Baba,Grass 2 Grace,2006,us,apple_album_search_no_auto_match,6,35,,false
graph_album:album|50 cent|get rich or die tryin:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|50 cent|get rich or die tryin,graph_album,album,50 Cent,Get Rich or Die Tryin',2003,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|6lack|free 6lack:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|6lack|free 6lack,graph_album,album,6LACK,Free 6lack,2016,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|7 seconds|crew:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|7 seconds|crew,graph_album,album,7 Seconds,The Crew,1984,us,apple_album_search_no_auto_match,10,65,,false
graph_album:album|a ap rocky|long live a ap:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|a ap rocky|long live a ap,graph_album,album,A$AP Rocky,Long.Live.A$AP,2013,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|a ha|hunting high and low:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|a ha|hunting high and low,graph_album,album,A-ha,Hunting High and Low,1985,us,apple_album_search_no_auto_match,10,88,,false
graph_album:album|a tribe called quest|people s instinctive travels and the paths of rhythm:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|a tribe called quest|people s instinctive travels and the paths of rhythm,graph_album,album,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm,1990,us,apple_album_search_no_auto_match,10,73,,false
graph_album:album|abba|arrival:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|abba|arrival,graph_album,album,ABBA,Arrival,1976,us,apple_album_search_no_auto_match,1,88,,false
graph_album:album|adam and the ants|kings of the wild frontier:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|adam and the ants|kings of the wild frontier,graph_album,album,Adam and the Ants,Kings of the Wild Frontier,1980,us,apple_album_search_no_auto_match,3,88,,false
graph_album:album|adverts|crossing the red sea with the adverts:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|adverts|crossing the red sea with the adverts,graph_album,album,The Adverts,Crossing the Red Sea with The Adverts,1978,us,apple_album_search_no_auto_match,3,88,,false
graph_album:album|alan silvestri|back to the future:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|alan silvestri|back to the future,graph_album,album,Alan Silvestri,Back to the Future,1985,us,apple_album_search_no_auto_match,10,73,,false
graph_album:album|alanis morissette|jagged little pill:apple_album_search_no_auto_match,apple_music_link_pass_v1,album|alanis morissette|jagged little pill,graph_album,album,Alanis Morissette,Jagged Little Pill,1995,us,apple_album_search_no_auto_match,10,88,,false
