deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,prior_review_reason,raw_payload_persisted
graph_recording:recording|age of love|age of love jam and spoon watch out for stella mix:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|age of love|age of love jam and spoon watch out for stella mix,graph_recording,recording,Age of Love,The Age of Love (Jam & Spoon Watch Out for Stella Mix),1992,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|alexander courage|theme from star trek:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|alexander courage|theme from star trek,graph_recording,recording,Alexander Courage,Theme from Star Trek,1966,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|angela lansbury david ogden stiers jerry orbach and paige o hara|something there:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|angela lansbury david ogden stiers jerry orbach and paige o hara|something there,graph_recording,recording,"Angela Lansbury, David Ogden Stiers, Jerry Orbach and Paige O'Hara",Something There,1991,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|anthony brown and group therapy|worth:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|anthony brown and group therapy|worth,graph_recording,recording,Anthony Brown & group therAPy,Worth,2015,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|basil poledouris|anvil of crom:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|basil poledouris|anvil of crom,graph_recording,recording,Basil Poledouris,Anvil of Crom,1982,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|basil poledouris|theme from robocop:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|basil poledouris|theme from robocop,graph_recording,recording,Basil Poledouris,Theme from RoboCop,1987,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|betty noyes|baby mine:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|betty noyes|baby mine,graph_recording,recording,Betty Noyes,Baby Mine,1941,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|bill evans|peace piece:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|bill evans|peace piece,graph_recording,recording,Bill Evans,Peace Piece,1958,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_results,false
graph_recording:recording|billie holiday|i ll be seeing you:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|billie holiday|i ll be seeing you,graph_recording,recording,Billie Holiday,I'll Be Seeing You,1944,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|billy joel|why should i worry:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|billy joel|why should i worry,graph_recording,recording,Billy Joel,Why Should I Worry?,1988,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|bob james|nautilus:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|bob james|nautilus,graph_recording,recording,Bob James,Nautilus,1974,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_results,false
graph_recording:recording|bobby driscoll kathryn beaumont and paul collins|you can fly you can fly you can fly:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|bobby driscoll kathryn beaumont and paul collins|you can fly you can fly you can fly,graph_recording,recording,"Bobby Driscoll, Kathryn Beaumont and Paul Collins",You Can Fly! You Can Fly! You Can Fly!,1953,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|brad fiedel|main title from the terminator:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|brad fiedel|main title from the terminator,graph_recording,recording,Brad Fiedel,Main Title from The Terminator,1984,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|brooke ligertwood and brandon lake|honey in the rock:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|brooke ligertwood and brandon lake|honey in the rock,graph_recording,recording,Brooke Ligertwood and Brandon Lake,Honey in the Rock,2022,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|byron cage|presence of the lord is here:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|byron cage|presence of the lord is here,graph_recording,recording,Byron Cage,The Presence of the Lord Is Here,2003,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|caravans|sweeping through the city:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|caravans|sweeping through the city,graph_recording,recording,The Caravans,Sweeping Through the City,1958,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|carol channing|before the parade passes by:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|carol channing|before the parade passes by,graph_recording,recording,Carol Channing,Before the Parade Passes By,1964,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|casting crowns|east to west:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|casting crowns|east to west,graph_recording,recording,Casting Crowns,East to West,2007,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|cheryl freeman lachanze roz ryan vaneese thomas and lillias white|gospel truth:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|cheryl freeman lachanze roz ryan vaneese thomas and lillias white|gospel truth,graph_recording,recording,"Cheryl Freeman, LaChanze, Roz Ryan, Vaneese Thomas and Lillias White",The Gospel Truth,1997,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|chris tomlin|forever:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|chris tomlin|forever,graph_recording,recording,Chris Tomlin,Forever,2001,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|christine johnson|you ll never walk alone:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|christine johnson|you ll never walk alone,graph_recording,recording,Christine Johnson,You'll Never Walk Alone,1945,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|clark sisters|endow me:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|clark sisters|endow me,graph_recording,recording,The Clark Sisters,Endow Me,1986,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|dave grusin|mountain dance:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|dave grusin|mountain dance,graph_recording,recording,Dave Grusin,Mountain Dance,1980,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|dave grusin|theme from st elsewhere:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|dave grusin|theme from st elsewhere,graph_recording,recording,Dave Grusin,Theme from St. Elsewhere,1982,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|david garrett|he s a pirate:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|david garrett|he s a pirate,graph_recording,recording,David Garrett,He's a Pirate,2010,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|dick van dyke julie andrews and karen dotrice|chim chim cher ee:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|dick van dyke julie andrews and karen dotrice|chim chim cher ee,graph_recording,recording,"Dick Van Dyke, Julie Andrews and Karen Dotrice",Chim Chim Cher-ee,1964,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|dinah washington|mad about the boy:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|dinah washington|mad about the boy,graph_recording,recording,Dinah Washington,Mad About the Boy,1952,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|disney studio chorus|winnie the pooh:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|disney studio chorus|winnie the pooh,graph_recording,recording,The Disney Studio Chorus,Winnie the Pooh,1966,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|dizzy gillespie and charlie parker|salt peanuts:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|dizzy gillespie and charlie parker|salt peanuts,graph_recording,recording,Dizzy Gillespie and Charlie Parker,Salt Peanuts,1945,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|donna mckechnie|music and the mirror:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|donna mckechnie|music and the mirror,graph_recording,recording,Donna McKechnie,The Music and the Mirror,1975,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|duke ellington|mood indigo:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|duke ellington|mood indigo,graph_recording,recording,Duke Ellington,Mood Indigo,1930,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|e s posthumus|nara:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|e s posthumus|nara,graph_recording,recording,E.S. Posthumus,Nara,2001,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|earl klugh and bob james|kari:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|earl klugh and bob james|kari,graph_recording,recording,Earl Klugh and Bob James,Kari,1979,us,offline_sidecar_no_unique_track_match,0,apple_song_search_no_auto_match,false
graph_recording:recording|ella fitzgerald and louis armstrong|summertime:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|ella fitzgerald and louis armstrong|summertime,graph_recording,recording,Ella Fitzgerald and Louis Armstrong,Summertime,1957,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|escala|kashmir:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|escala|kashmir,graph_recording,recording,Escala,Kashmir,2009,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|frank sinatra|best is yet to come:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|frank sinatra|best is yet to come,graph_recording,recording,Frank Sinatra,The Best Is Yet to Come,1964,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
graph_recording:recording|george givot and bill thompson|bella notte:offline_sidecar_no_unique_track_match,apple_music_offline_reconciliation_pass_v1,recording|george givot and bill thompson|bella notte,graph_recording,recording,George Givot and Bill Thompson,Bella Notte,1955,us,offline_sidecar_no_unique_track_match,0,apple_song_search_needs_review_version_risk,false
