deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,best_result_rank,best_reject_reason,prior_review_reason,error_message,raw_payload_persisted
graph_recording:recording|alexander courage|theme from star trek:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|alexander courage|theme from star trek,graph_recording,recording,Alexander Courage,Theme from Star Trek,1966,us,recording_hardening_no_auto_match,25,76,1,identity_evidence_below_threshold,apple_song_search_needs_review_version_risk,,false
graph_recording:recording|basil poledouris|anvil of crom:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|basil poledouris|anvil of crom,graph_recording,recording,Basil Poledouris,Anvil of Crom,1982,us,recording_hardening_no_auto_match,23,51,12,title_not_matched,apple_song_search_needs_review_version_risk,,false
graph_recording:recording|caravans|sweeping through the city:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|caravans|sweeping through the city,graph_recording,recording,The Caravans,Sweeping Through the City,1958,us,recording_hardening_no_auto_match,17,72,1,identity_evidence_below_threshold,apple_song_search_no_auto_match,,false
graph_recording:recording|christine johnson|you ll never walk alone:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|christine johnson|you ll never walk alone,graph_recording,recording,Christine Johnson,You'll Never Walk Alone,1945,us,recording_hardening_no_auto_match,16,57,2,artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_recording:recording|dave grusin|mountain dance:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|dave grusin|mountain dance,graph_recording,recording,Dave Grusin,Mountain Dance,1980,us,recording_hardening_no_auto_match,22,75,2,identity_evidence_below_threshold,apple_song_search_no_auto_match,,false
graph_recording:recording|hillsong united|stand:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|hillsong united|stand,graph_recording,recording,Hillsong United,The Stand,2005,us,recording_hardening_no_auto_match,18,81,1,identity_evidence_below_threshold,apple_song_search_needs_review_version_risk,,false
graph_recording:recording|huey lewis|once upon a time in new york city:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|huey lewis|once upon a time in new york city,graph_recording,recording,Huey Lewis,Once Upon a Time in New York City,1988,us,recording_hardening_no_auto_match,16,58,10,artist_not_matched,apple_song_search_needs_review_version_risk,,false
graph_recording:recording|jerry goldsmith|main title from basic instinct:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|jerry goldsmith|main title from basic instinct,graph_recording,recording,Jerry Goldsmith,Main Title from Basic Instinct,1992,us,recording_hardening_no_auto_match,23,59,1,title_not_matched,apple_song_search_needs_review_version_risk,,false
graph_recording:recording|maverick city music|son of suffering:recording_hardening_version_term_needs_review,apple_music_recording_hardening_pass_v1,recording|maverick city music|son of suffering,graph_recording,recording,Maverick City Music,Son of Suffering,2021,us,recording_hardening_version_term_needs_review,15,82,1,version_term:arr,apple_song_search_needs_review_version_risk,,false
graph_recording:recording|nino rota|main title from the godfather part ii:recording_hardening_no_auto_match,apple_music_recording_hardening_pass_v1,recording|nino rota|main title from the godfather part ii,graph_recording,recording,Nino Rota,Main Title from The Godfather Part II,1974,us,recording_hardening_no_auto_match,17,53,4,title_not_matched,apple_song_search_needs_review_version_risk,,false
