deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,error_message,raw_payload_persisted
album_sidecar_track:album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@3@@@@splash 1 now i m home:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@3@@@@splash 1 now i m home,album_sidecar_track,track,13th Floor Elevators,Splash 1 (Now I’m Home),1966,us,residual_track_no_safe_match,18,60,,false
album_sidecar_track:album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@4@@@@reverberation doubt:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@4@@@@reverberation doubt,album_sidecar_track,track,13th Floor Elevators,Reverberation (Doubt),1966,us,residual_track_no_safe_match,18,65,,false
album_sidecar_track:album|2pac|me against the world@@1@@13@@@@fuck world:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|2pac|me against the world@@1@@13@@@@fuck world,album_sidecar_track,track,2Pac,Fuck the World,1995,us,residual_track_no_safe_match,2,57,,false
album_sidecar_track:album|2pac|me against the world@@1@@6@@@@young niggaz:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|2pac|me against the world@@1@@6@@@@young niggaz,album_sidecar_track,track,2Pac,Young Niggaz,1995,us,residual_track_no_safe_match,2,57,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@11@@@@like my style:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|50 cent|get rich or die tryin@@1@@11@@@@like my style,album_sidecar_track,track,50 Cent,Like My Style,2003,us,residual_track_no_safe_match,12,47,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@13@@@@21 questions:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|50 cent|get rich or die tryin@@1@@13@@@@21 questions,album_sidecar_track,track,50 Cent,21 Questions,2003,us,residual_track_no_safe_match,11,47,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@14@@@@don t push me:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|50 cent|get rich or die tryin@@1@@14@@@@don t push me,album_sidecar_track,track,50 Cent,Don’t Push Me,2003,us,residual_track_no_safe_match,11,48,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@8@@@@blood hound:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|50 cent|get rich or die tryin@@1@@8@@@@blood hound,album_sidecar_track,track,50 Cent,Blood Hound,2003,us,residual_track_no_safe_match,6,47,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@9@@@@back down:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|50 cent|get rich or die tryin@@1@@9@@@@back down,album_sidecar_track,track,50 Cent,Back Down,2003,us,residual_track_no_safe_match,6,65,,false
album_sidecar_track:album|8ball and mjg|comin out hard@@1@@8@@@@nigga s like us:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|8ball and mjg|comin out hard@@1@@8@@@@nigga s like us,album_sidecar_track,track,8Ball & MJG,Nigga's Like Us,1993,us,residual_track_no_safe_match,3,57,,false
album_sidecar_track:album|a tribe called quest|midnight marauders@@1@@5@@@@sucka nigga:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|a tribe called quest|midnight marauders@@1@@5@@@@sucka nigga,album_sidecar_track,track,A Tribe Called Quest,Sucka Nigga,1993,us,residual_track_no_safe_match,1,58,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy,album_sidecar_track,track,The Adverts,Bombsite Boy,1978,us,residual_track_no_safe_match,18,56,,false
album_sidecar_track:album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house,album_sidecar_track,track,Alanis Morissette,You Oughta Know (Jimmy the Saint Blend) / Your House,1995,us,residual_track_no_safe_match,0,0,,false
album_sidecar_track:album|alice in chains|dirt@@1@@10@@@@iron gland:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|alice in chains|dirt@@1@@10@@@@iron gland,album_sidecar_track,track,Alice in Chains,Iron Gland,1992,us,residual_track_no_safe_match,1,57,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@4@@@@one way out:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|allman brothers band|eat a peach@@1@@4@@@@one way out,album_sidecar_track,track,The Allman Brothers Band,One Way Out,1972,us,residual_track_no_safe_match,6,48,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@5@@@@trouble no more:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|allman brothers band|eat a peach@@1@@5@@@@trouble no more,album_sidecar_track,track,The Allman Brothers Band,Trouble No More,1972,us,residual_track_no_safe_match,6,44,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@9@@@@mountain jam:residual_track_no_safe_match,apple_music_residual_track_pass_v1,album|allman brothers band|eat a peach@@1@@9@@@@mountain jam,album_sidecar_track,track,The Allman Brothers Band,Mountain Jam,1972,us,residual_track_no_safe_match,3,35,,false
