deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,second_score,apple_album_id,error_message,raw_payload_persisted
album_sidecar_track:album|7 seconds|crew@@1@@4@@@@this is angry part 2:album_bound_track_no_safe_match:1565631542,apple_music_sidecar_track_album_bound_pass_v1,album|7 seconds|crew@@1@@4@@@@this is angry part 2,album_sidecar_track,track,7 Seconds,"This Is the Angry, Part 2",1984,us,album_bound_track_no_safe_match,3,47,0,1565631542,,false
album_sidecar_track:album|a ap rocky|long live a ap@@1@@7@@@@fuckin problems:album_bound_track_no_safe_match:1450690198,apple_music_sidecar_track_album_bound_pass_v1,album|a ap rocky|long live a ap@@1@@7@@@@fuckin problems,album_sidecar_track,track,A$AP Rocky,Fuckin’ Problems,2013,us,album_bound_track_no_safe_match,1,57,,1450690198,,false
album_sidecar_track:album|adam and the ants|kings of the wild frontier@@1@@12@@@@physical you re so:album_bound_track_no_safe_match:1108061200,apple_music_sidecar_track_album_bound_pass_v1,album|adam and the ants|kings of the wild frontier@@1@@12@@@@physical you re so,album_sidecar_track,track,Adam and the Ants,Physical (You’re So),1980,us,album_bound_track_no_safe_match,29,57,53,1108061200,,false
album_sidecar_track:album|adam and the ants|kings of the wild frontier@@1@@13@@@@human beings:album_bound_track_no_safe_match:1108061200,apple_music_sidecar_track_album_bound_pass_v1,album|adam and the ants|kings of the wild frontier@@1@@13@@@@human beings,album_sidecar_track,track,Adam and the Ants,The Human Beings,1980,us,album_bound_track_no_safe_match,29,57,53,1108061200,,false
album_sidecar_track:album|adam and the ants|kings of the wild frontier@@1@@5@@@@press darlings:album_bound_track_no_safe_match:1108061200,apple_music_sidecar_track_album_bound_pass_v1,album|adam and the ants|kings of the wild frontier@@1@@5@@@@press darlings,album_sidecar_track,track,Adam and the Ants,Press Darlings,1980,us,album_bound_track_no_safe_match,29,57,52,1108061200,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy:album_bound_track_no_safe_match:1668347179,apple_music_sidecar_track_album_bound_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy,album_sidecar_track,track,The Adverts,Bombsite Boy,1978,us,album_bound_track_no_safe_match,15,56,43,1668347179,,false
album_sidecar_track:album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house:album_bound_track_no_safe_match:1715762264,apple_music_sidecar_track_album_bound_pass_v1,album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house,album_sidecar_track,track,Alanis Morissette,You Oughta Know (Jimmy the Saint Blend) / Your House,1995,us,album_bound_track_no_safe_match,0,0,,1715762264,,false
album_sidecar_track:album|alice in chains|dirt@@1@@10@@@@iron gland:album_bound_track_no_safe_match:157316517,apple_music_sidecar_track_album_bound_pass_v1,album|alice in chains|dirt@@1@@10@@@@iron gland,album_sidecar_track,track,Alice in Chains,Iron Gland,1992,us,album_bound_track_no_safe_match,1,57,,157316517,,false
album_sidecar_track:album|allman brothers band|at fillmore east@@1@@4@@@@whipping post:album_bound_track_no_safe_match:1440833569,apple_music_sidecar_track_album_bound_pass_v1,album|allman brothers band|at fillmore east@@1@@4@@@@whipping post,album_sidecar_track,track,The Allman Brothers Band,Whipping Post,1971,us,album_bound_track_no_safe_match,4,48,45,1440833569,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@9@@@@mountain jam:album_bound_track_no_safe_match:1469584912,apple_music_sidecar_track_album_bound_pass_v1,album|allman brothers band|eat a peach@@1@@9@@@@mountain jam,album_sidecar_track,track,The Allman Brothers Band,Mountain Jam,1972,us,album_bound_track_no_safe_match,1,45,,1469584912,,false
album_sidecar_track:album|amyl and the sniffers|comfort to me@@1@@11@@@@don t need a cunt like you to love me:album_bound_track_no_safe_match:1574728155,apple_music_sidecar_track_album_bound_pass_v1,album|amyl and the sniffers|comfort to me@@1@@11@@@@don t need a cunt like you to love me,album_sidecar_track,track,Amyl and the Sniffers,Don’t Need a Cunt (Like You to Love Me),2021,us,album_bound_track_no_safe_match,1,57,,1574728155,,false
