candidate_identity_key,apple_collection_id,status,old_track_count,old_tracks_with_apple_id,old_tracks_missing_apple_id,apple_track_count,track_count_delta,old_track_sources,error_message
album||myth takes,214222721,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|100 gecs|10 000 gecs,1655225317,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|100 gecs|1000 gecs,1497364061,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|13th floor elevators|easter everywhere,558701367,rebuilt_from_apple_song_tracklist,21,21,0,21,0,"{""apple_music_catalog_album_tracks"":21}",
album|13th floor elevators|psychedelic sounds of the 13th floor elevators,558685692,rebuilt_from_apple_song_tracklist,27,27,0,27,0,"{""apple_music_catalog_album_tracks"":27}",
album|20 20|20 20,848221451,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|21 savage and metro boomin|savage mode ii,1534263780,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|2pac|all eyez on me,1588492978,rebuilt_from_apple_song_tracklist,27,27,0,27,0,"{""apple_music_catalog_album_tracks"":27}",
album|2pac|me against the world,1440509542,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|3 doors down|better life,1440664882,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|4 non blondes|bigger better faster more,1440902342,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|50 cent|get rich or die tryin,1440841450,rebuilt_from_apple_song_tracklist,19,19,0,19,0,"{""apple_music_catalog_album_tracks"":19}",
album|6lack|free 6lack,1440897757,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|7 seconds|crew,1565631542,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
album|8ball and mjg|comin out hard,962220541,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|a ap rocky|long live a ap,1450690198,rebuilt_from_apple_song_tracklist,17,17,0,17,0,"{""apple_music_catalog_album_tracks"":17}",
album|a day to remember|homesick,1558595736,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|a g cook|britpop,1743823674,rebuilt_from_apple_song_tracklist,24,24,0,24,0,"{""apple_music_catalog_album_tracks"":24}",
album|a ha|hunting high and low,1037562339,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|a r kane|69,1698316344,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|a taste of honey|a taste of honey,716553965,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|a tribe called quest|low end theory,278911460,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|a tribe called quest|midnight marauders,265670545,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|a tribe called quest|people s instinctive travels and the paths of rhythm,1806751228,rebuilt_from_apple_song_tracklist,20,20,0,20,0,"{""apple_music_catalog_album_tracks"":20}",
album|aaliyah|one in a million,1769721510,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
album|abba|arrival,1440820126,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|abba|gold greatest hits,1422648512,rebuilt_from_apple_song_tracklist,19,19,0,19,0,"{""apple_music_catalog_album_tracks"":19}",
album|above the law|livin like hustlers,193866697,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|ac dc|back in black,574050396,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|ac dc|highway to hell,574043989,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|accept|restless and wild,192486525,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|adam and the ants|kings of the wild frontier,1108061200,rebuilt_from_apple_song_tracklist,39,39,0,39,0,"{""apple_music_catalog_album_tracks"":39}",
album|adele|21,1544491232,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|adele|25,1544494115,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|adrianne lenker|songs,1526437437,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|adverts|crossing the red sea with the adverts,1668347179,rebuilt_from_apple_song_tracklist,25,25,0,25,0,"{""apple_music_catalog_album_tracks"":25}",
album|aerosmith|rocks,1658654048,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|aerosmith|toys in the attic,1883816624,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|aesop rock|labor days,1623688022,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|agnostic front|victim in pain,1609512833,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|aimee mann|bachelor no 2,551473502,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|aimee mann|lost in space,551715559,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|air supply|lost in love,913765043,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|air|moon safari,693063670,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|airplay|airplay,399222307,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|al green|call me,1196508713,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|al green|i m still in love with you,1133378411,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|alabama|mountain music,286004566,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|alan jackson|a lot about livin and a little bout love,258626620,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|alan jackson|don t rock the jukebox,250107577,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|alan silvestri|back to the future,1440871200,rebuilt_from_apple_song_tracklist,24,24,0,24,0,"{""apple_music_catalog_album_tracks"":24}",
album|alanis morissette|jagged little pill,1715762264,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|ali farka toure and ry cooder|talking timbuktu,1528519970,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|alice cooper|billion dollar babies,40458482,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|alice in chains|dirt,157316517,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|alice in chains|facelift,274953009,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|alice in chains|jar of flies,268435274,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|alicia keys|songs in a minor,256936779,rebuilt_from_apple_song_tracklist,16,16,0,16,0,"{""apple_music_catalog_album_tracks"":16}",
album|alkaline trio|from here to infirmary,1435174439,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|all american rejects|all american rejects,1459936723,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|allman brothers band|at fillmore east,1440833569,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|allman brothers band|brothers and sisters,1469578954,rebuilt_from_apple_song_tracklist,7,7,0,7,0,"{""apple_music_catalog_album_tracks"":7}",
album|allman brothers band|eat a peach,1469584912,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|alt j|an awesome wave,558262493,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|amadou and mariam|dimanche a bamako,56371957,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|amboy dukes|journey to the center of the mind,422781364,rebuilt_from_apple_song_tracklist,18,18,0,18,0,"{""apple_music_catalog_album_tracks"":18}",
album|america|hearts,150058873,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|american aquarium|burn flicker die,1503740063,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|american football|american football,1651333864,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
album|amy grant|heart in motion,1440832797,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|amyl and the sniffers|comfort to me,1574728155,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|andrae crouch|live in london,305503778,rebuilt_from_apple_song_tracklist,25,25,0,25,0,"{""apple_music_catalog_album_tracks"":25}",
album|andrea bocelli|romanza,1440840332,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|andrea bocelli|sogno,1740784216,rebuilt_from_apple_song_tracklist,14,14,0,14,0,"{""apple_music_catalog_album_tracks"":14}",
album|angel olsen|all mirrors,1472009368,rebuilt_from_apple_song_tracklist,11,11,0,11,0,"{""apple_music_catalog_album_tracks"":11}",
album|angel olsen|big time,1612533349,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|angel witch|angel witch,1444755676,rebuilt_from_apple_song_tracklist,30,30,0,30,0,"{""apple_music_catalog_album_tracks"":30}",
album|angie stone|black diamond,1534248450,rebuilt_from_apple_song_tracklist,15,15,0,15,0,"{""apple_music_catalog_album_tracks"":15}",
album|animal collective|merriweather post pavilion,300683110,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|animals|animals,1440781967,rebuilt_from_apple_song_tracklist,13,13,0,13,0,"{""apple_music_catalog_album_tracks"":13}",
album|anita baker|giving you the best that i got,300205037,rebuilt_from_apple_song_tracklist,8,8,0,8,0,"{""apple_music_catalog_album_tracks"":8}",
album|anita baker|rapture,1018520424,rebuilt_from_apple_song_tracklist,8,8,0,8,0,"{""apple_music_catalog_album_tracks"":8}",
album|ann peebles|i can t stand the rain,1074125635,rebuilt_from_apple_song_tracklist,10,10,0,10,0,"{""apple_music_catalog_album_tracks"":10}",
album|annette funicello|annette s beach party,1444177635,rebuilt_from_apple_song_tracklist,12,12,0,12,0,"{""apple_music_catalog_album_tracks"":12}",
album|anoushka shankar|rise,716185449,rebuilt_from_apple_song_tracklist,9,9,0,9,0,"{""apple_music_catalog_album_tracks"":9}",
