deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,candidate_apple_id_count,strongest_basis_suffix,prior_review_reason,raw_payload_persisted
graph_recording:recording|alexander courage|theme from star trek:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|alexander courage|theme from star trek,graph_recording,recording,Alexander Courage,Theme from Star Trek,1966,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|basil poledouris|anvil of crom:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|basil poledouris|anvil of crom,graph_recording,recording,Basil Poledouris,Anvil of Crom,1982,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|caravans|sweeping through the city:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|caravans|sweeping through the city,graph_recording,recording,The Caravans,Sweeping Through the City,1958,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_recording:recording|christine johnson|you ll never walk alone:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|christine johnson|you ll never walk alone,graph_recording,recording,Christine Johnson,You'll Never Walk Alone,1945,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|dave grusin|mountain dance:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|dave grusin|mountain dance,graph_recording,recording,Dave Grusin,Mountain Dance,1980,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_recording:recording|hillsong united|stand:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|hillsong united|stand,graph_recording,recording,Hillsong United,The Stand,2005,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|huey lewis|once upon a time in new york city:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|huey lewis|once upon a time in new york city,graph_recording,recording,Huey Lewis,Once Upon a Time in New York City,1988,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|jerry goldsmith|main title from basic instinct:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|jerry goldsmith|main title from basic instinct,graph_recording,recording,Jerry Goldsmith,Main Title from Basic Instinct,1992,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|maverick city music|son of suffering:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|maverick city music|son of suffering,graph_recording,recording,Maverick City Music,Son of Suffering,2021,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|nino rota|main title from the godfather part ii:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|nino rota|main title from the godfather part ii,graph_recording,recording,Nino Rota,Main Title from The Godfather Part II,1974,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|original broadway cast of a chorus line|one:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|original broadway cast of a chorus line|one,graph_recording,recording,Original Broadway Cast of A Chorus Line,One,1975,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|original broadway cast of be more chill|michael in the bathroom:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|original broadway cast of be more chill|michael in the bathroom,graph_recording,recording,Original Broadway Cast of Be More Chill,Michael in the Bathroom,2018,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|original broadway cast of chicago|razzle dazzle:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|original broadway cast of chicago|razzle dazzle,graph_recording,recording,Original Broadway Cast of Chicago,Razzle Dazzle,1975,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|paul winchell|wonderful thing about tiggers:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|paul winchell|wonderful thing about tiggers,graph_recording,recording,Paul Winchell,The Wonderful Thing About Tiggers,1968,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_results,false
graph_recording:recording|philip glass|metamorphosis one:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|philip glass|metamorphosis one,graph_recording,recording,Philip Glass,Metamorphosis One,1989,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_recording:recording|rance allen group|something about the name jesus:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|rance allen group|something about the name jesus,graph_recording,recording,Rance Allen Group,Something About the Name Jesus,2000,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|sammy davis jr|mr bojangles:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|sammy davis jr|mr bojangles,graph_recording,recording,Sammy Davis Jr.,Mr. Bojangles,1972,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|sarah vaughan|whatever lola wants:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|sarah vaughan|whatever lola wants,graph_recording,recording,Sarah Vaughan,Whatever Lola Wants,1955,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|sterling holloway|little black rain cloud:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|sterling holloway|little black rain cloud,graph_recording,recording,Sterling Holloway,Little Black Rain Cloud,1966,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_results,false
graph_recording:recording|vangelis|end titles from blade runner:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|vangelis|end titles from blade runner,graph_recording,recording,Vangelis,End Titles from Blade Runner,1982,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_recording:recording|yo yo ma|gabriel s oboe:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,recording|yo yo ma|gabriel s oboe,graph_recording,recording,Yo-Yo Ma,Gabriel's Oboe,2004,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_song:song||me and giuliani down by the school yard:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song||me and giuliani down by the school yard,graph_song,song,!!!,Me and Giuliani Down by the School Yard,2003,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_song:song|2 live crew|me so horny:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|2 live crew|me so horny,graph_song,song,2 Live Crew,Me So Horny,1989,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_song:song|30 seconds to mars|kill:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|30 seconds to mars|kill,graph_song,song,30 Seconds to Mars,The Kill,2005,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_song:song|ali farka toure and ry cooder|ai du:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|ali farka toure and ry cooder|ai du,graph_song,song,Ali Farka Toure and Ry Cooder,Ai Du,1994,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_song:song|ali farka toure|diaraby:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|ali farka toure|diaraby,graph_song,song,Ali Farka Toure,Diaraby,1994,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_song:song|allman brothers band|statesboro blues:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|allman brothers band|statesboro blues,graph_song,song,The Allman Brothers Band,Statesboro Blues,1971,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_song:song|aly us|follow me:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|aly us|follow me,graph_song,song,Aly-Us,Follow Me,1992,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_song:song|antonio aguilar|tristes recuerdos:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|antonio aguilar|tristes recuerdos,graph_song,song,Antonio Aguilar,Tristes Recuerdos,1973,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_song:song|aphex twin|come to daddy:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|aphex twin|come to daddy,graph_song,song,Aphex Twin,Come to Daddy,1997,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_needs_review_version_risk,false
graph_song:song|aso|snacks:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|aso|snacks,graph_song,song,Aso,Snacks,2016,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
graph_song:song|babe rainbow|something:song_source_album_no_unique_track_match,apple_music_song_source_album_reconciliation_pass_v1,song|babe rainbow|something,graph_song,song,Babe Rainbow,Something,2017,us,song_source_album_no_unique_track_match,0,0,,apple_song_search_no_auto_match,false
