deferred_key,run_version,source_ref,source_type,source_candidate_type,artist_display_name,title,year,storefront,deferred_reason,candidate_count,best_score,apple_album_id,error_message,raw_payload_persisted
album_sidecar_track:album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@3@@@@splash 1 now i m home:album_track_try_harder_no_safe_match:558685692,apple_music_try_harder_pass_v1,album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@3@@@@splash 1 now i m home,album_sidecar_track,track,,Splash 1 (Now I’m Home),1966,us,album_track_try_harder_no_safe_match,25,46,558685692,,false
album_sidecar_track:album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@4@@@@reverberation doubt:album_track_try_harder_no_safe_match:558685692,apple_music_try_harder_pass_v1,album|13th floor elevators|psychedelic sounds of the 13th floor elevators@@1@@4@@@@reverberation doubt,album_sidecar_track,track,,Reverberation (Doubt),1966,us,album_track_try_harder_no_safe_match,25,51,558685692,,false
album_sidecar_track:album|2pac|me against the world@@1@@13@@@@fuck world:album_track_try_harder_no_safe_match:1440509542,apple_music_try_harder_pass_v1,album|2pac|me against the world@@1@@13@@@@fuck world,album_sidecar_track,track,,Fuck the World,1995,us,album_track_try_harder_no_safe_match,4,43,1440509542,,false
album_sidecar_track:album|2pac|me against the world@@1@@6@@@@young niggaz:album_track_try_harder_no_safe_match:1440509542,apple_music_try_harder_pass_v1,album|2pac|me against the world@@1@@6@@@@young niggaz,album_sidecar_track,track,,Young Niggaz,1995,us,album_track_try_harder_no_safe_match,10,43,1440509542,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@10@@@@p i m p:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@10@@@@p i m p,album_sidecar_track,track,,P.I.M.P.,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@11@@@@like my style:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@11@@@@like my style,album_sidecar_track,track,,Like My Style,2003,us,album_track_try_harder_no_safe_match,13,33,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@12@@@@poor lil rich:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@12@@@@poor lil rich,album_sidecar_track,track,,Poor Lil Rich,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@13@@@@21 questions:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@13@@@@21 questions,album_sidecar_track,track,,21 Questions,2003,us,album_track_try_harder_no_safe_match,13,34,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@14@@@@don t push me:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@14@@@@don t push me,album_sidecar_track,track,,Don’t Push Me,2003,us,album_track_try_harder_no_safe_match,13,34,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@15@@@@gotta make it to heaven:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@15@@@@gotta make it to heaven,album_sidecar_track,track,,Gotta Make It to Heaven,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@16@@@@wanksta:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@16@@@@wanksta,album_sidecar_track,track,,Wanksta,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@17@@@@u not like me:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@17@@@@u not like me,album_sidecar_track,track,,U Not Like Me,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@18@@@@life s on line:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@18@@@@life s on line,album_sidecar_track,track,,Life’s on the Line,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@7@@@@if i can t:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@7@@@@if i can t,album_sidecar_track,track,,If I Can’t,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@8@@@@blood hound:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@8@@@@blood hound,album_sidecar_track,track,,Blood Hound,2003,us,album_track_try_harder_no_safe_match,13,33,1440841450,,false
album_sidecar_track:album|50 cent|get rich or die tryin@@1@@9@@@@back down:album_track_try_harder_no_safe_match:1440841450,apple_music_try_harder_pass_v1,album|50 cent|get rich or die tryin@@1@@9@@@@back down,album_sidecar_track,track,,Back Down,2003,us,album_track_try_harder_no_safe_match,13,51,1440841450,,false
album_sidecar_track:album|8ball and mjg|comin out hard@@1@@8@@@@nigga s like us:album_track_try_harder_no_safe_match:962220541,apple_music_try_harder_pass_v1,album|8ball and mjg|comin out hard@@1@@8@@@@nigga s like us,album_sidecar_track,track,,Nigga's Like Us,1993,us,album_track_try_harder_no_safe_match,4,43,962220541,,false
album_sidecar_track:album|a tribe called quest|midnight marauders@@1@@5@@@@sucka nigga:album_track_try_harder_no_safe_match:265670545,apple_music_try_harder_pass_v1,album|a tribe called quest|midnight marauders@@1@@5@@@@sucka nigga,album_sidecar_track,track,,Sucka Nigga,1993,us,album_track_try_harder_no_safe_match,10,44,265670545,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@10@@@@on wheels:album_track_try_harder_no_safe_match:1668347179,apple_music_try_harder_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@10@@@@on wheels,album_sidecar_track,track,,On Wheels,1978,us,album_track_try_harder_no_safe_match,20,51,1668347179,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@11@@@@great british mistake:album_track_try_harder_no_safe_match:1668347179,apple_music_try_harder_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@11@@@@great british mistake,album_sidecar_track,track,,Great British Mistake,1978,us,album_track_try_harder_no_safe_match,20,51,1668347179,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy:album_track_try_harder_no_safe_match:1668347179,apple_music_try_harder_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@6@@@@bombsite boy,album_sidecar_track,track,,Bombsite Boy,1978,us,album_track_try_harder_no_safe_match,20,42,1668347179,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@7@@@@no time to be 21:album_track_try_harder_no_safe_match:1668347179,apple_music_try_harder_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@7@@@@no time to be 21,album_sidecar_track,track,,No Time to Be 21,1978,us,album_track_try_harder_no_safe_match,20,51,1668347179,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@8@@@@safety in numbers:album_track_try_harder_no_safe_match:1668347179,apple_music_try_harder_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@8@@@@safety in numbers,album_sidecar_track,track,,Safety in Numbers,1978,us,album_track_try_harder_no_safe_match,20,51,1668347179,,false
album_sidecar_track:album|adverts|crossing the red sea with the adverts@@1@@9@@@@drowning men:album_track_try_harder_no_safe_match:1668347179,apple_music_try_harder_pass_v1,album|adverts|crossing the red sea with the adverts@@1@@9@@@@drowning men,album_sidecar_track,track,,Drowning Men,1978,us,album_track_try_harder_no_safe_match,20,51,1668347179,,false
album_sidecar_track:album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house:album_track_try_harder_no_safe_match:1715762264,apple_music_try_harder_pass_v1,album|alanis morissette|jagged little pill@@1@@13@@@@you oughta know jimmy saint blend your house,album_sidecar_track,track,,You Oughta Know (Jimmy the Saint Blend) / Your House,1995,us,album_track_try_harder_no_safe_match,0,0,1715762264,,false
album_sidecar_track:album|alice in chains|dirt@@1@@10@@@@iron gland:album_track_try_harder_no_safe_match:157316517,apple_music_try_harder_pass_v1,album|alice in chains|dirt@@1@@10@@@@iron gland,album_sidecar_track,track,,Iron Gland,1992,us,album_track_try_harder_no_safe_match,4,43,157316517,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@4@@@@one way out:album_track_try_harder_no_safe_match:1469584912,apple_music_try_harder_pass_v1,album|allman brothers band|eat a peach@@1@@4@@@@one way out,album_sidecar_track,track,,One Way Out,1972,us,album_track_try_harder_no_safe_match,6,34,1469584912,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@5@@@@trouble no more:album_track_try_harder_no_safe_match:1469584912,apple_music_try_harder_pass_v1,album|allman brothers band|eat a peach@@1@@5@@@@trouble no more,album_sidecar_track,track,,Trouble No More,1972,us,album_track_try_harder_no_safe_match,6,30,1469584912,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@6@@@@stand back:album_track_try_harder_no_safe_match:1469584912,apple_music_try_harder_pass_v1,album|allman brothers band|eat a peach@@1@@6@@@@stand back,album_sidecar_track,track,,Stand Back,1972,us,album_track_try_harder_no_safe_match,6,51,1469584912,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@7@@@@blue sky:album_track_try_harder_no_safe_match:1469584912,apple_music_try_harder_pass_v1,album|allman brothers band|eat a peach@@1@@7@@@@blue sky,album_sidecar_track,track,,Blue Sky,1972,us,album_track_try_harder_no_safe_match,6,51,1469584912,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@8@@@@little martha:album_track_try_harder_no_safe_match:1469584912,apple_music_try_harder_pass_v1,album|allman brothers band|eat a peach@@1@@8@@@@little martha,album_sidecar_track,track,,Little Martha,1972,us,album_track_try_harder_no_safe_match,6,51,1469584912,,false
album_sidecar_track:album|allman brothers band|eat a peach@@1@@9@@@@mountain jam:album_track_try_harder_no_safe_match:1469584912,apple_music_try_harder_pass_v1,album|allman brothers band|eat a peach@@1@@9@@@@mountain jam,album_sidecar_track,track,,Mountain Jam,1972,us,album_track_try_harder_no_safe_match,6,29,1469584912,,false
