archetype_id,family_number,archetype,high_traffic,effective_target,effective_mission_count_before_pass_c,effective_mission_count_after_pass_c,pm_approved_multi_membership_credit,effective_mission_count_after_pass_d,effective_gap_after_pass_d,playable_songs_after_pass_d,albums_after_pass_d,artist_anchors_after_pass_d,boundary_after_pass_d,false_nearby_after_pass_d,context_candidates_after_pass_d,risky_unresolved_after_pass_d,pass_d_status
001,1,Early Rock & Roll Foundations,false,60,72,72,0,72,0,54,18,35,4,0,0,14,mission_effective_ready
002,1,Rockabilly / Primitive Guitar / Proto-Garage,false,60,61,61,0,61,0,45,16,33,8,0,0,8,mission_effective_ready
003,1,Doo-Wop / Vocal Group Oldies,false,60,54,60,0,60,0,43,15,37,5,0,0,12,mission_effective_ready
004,1,Teen Idol / Early Pop-Rock Radio,false,60,58,60,1,61,0,45,15,34,5,0,0,10,mission_effective_ready
005,1,Brill Building / Girl Group / Early 60s Pop Craft,false,60,55,60,0,60,0,42,16,34,5,1,0,12,mission_effective_ready
006,1,Early Soul-Pop / R&B Crossover,false,60,58,60,1,61,0,41,18,39,3,0,0,16,mission_effective_ready
007,1,Surf / Instrumental / Early Guitar Pop,false,60,57,60,0,60,0,40,19,35,3,0,0,14,mission_effective_ready
008,2,British Invasion / Core UK Beat Groups,true,80,47,86,0,86,0,71,7,12,11,2,2,2,mission_effective_ready
009,2,Jangle Pop / Folk-Rock Precursor,true,80,51,86,0,86,0,67,10,8,10,4,2,1,mission_effective_ready
010,2,Folk-Rock / Harmony Pop / 60s Songcraft,true,80,52,86,0,86,0,60,18,7,12,2,2,1,mission_effective_ready
011,2,Garage Rock / Nuggets / Proto-Punk Singles,true,80,53,86,0,86,0,68,11,5,6,4,1,2,mission_effective_ready
012,2,Baroque Pop / Chamber Pop / Artful 60s Pop,true,80,54,86,0,86,0,61,17,5,9,3,0,1,mission_effective_ready
013,2,Psychedelic Pop / Sunshine Pop / Late-60s Pop-Rock,true,80,53,86,0,86,0,59,18,3,13,5,0,4,mission_effective_ready
014,2,Heavy Psych / Blues-Rock / Acid Rock,true,80,52,86,0,86,0,64,17,7,5,2,0,1,mission_effective_ready
015,2,Art-Rock / Proto-Alternative / Freak Underground,true,80,55,86,0,86,0,54,27,4,18,1,0,1,mission_effective_ready
016,3,Classic Rock / Album-Rock Spine,false,60,40,66,0,66,0,39,21,21,8,2,0,2,mission_effective_ready
017,3,Hard Rock / Riff Rock / Proto-Metal,false,60,40,66,0,66,0,40,21,20,7,1,0,0,mission_effective_ready
018,3,Progressive Rock / Art-Prog Canon,false,60,41,66,0,66,0,39,23,21,14,1,0,1,mission_effective_ready
019,3,Southern Rock / Roots Jam Rock,false,60,39,66,0,66,0,41,21,20,10,2,0,1,mission_effective_ready
020,3,Glam Rock / Theatrical Seventies Rock,false,60,39,66,0,66,0,41,21,20,6,3,0,1,mission_effective_ready
021,3,Power Pop / Melodic Guitar Pop,false,60,39,66,0,66,0,42,20,21,4,2,0,0,mission_effective_ready
022,3,Soft Rock / AM Gold / Adult Pop,false,60,36,66,0,66,0,46,16,22,3,2,0,4,mission_effective_ready
023,3,Yacht Rock / Smooth Studio Pop,false,60,38,66,0,66,0,42,20,20,7,5,0,2,mission_effective_ready
024,4,Classic singer-songwriter,true,80,36,80,0,80,0,52,21,22,6,3,0,2,mission_effective_ready
025,4,Piano pop and adult songcraft,true,80,37,80,0,80,0,50,23,20,10,2,0,3,mission_effective_ready
026,4,Folk revival and protest folk,true,80,35,80,0,80,0,51,19,22,9,4,0,5,mission_effective_ready
027,4,Country-folk and Americana roots,true,80,37,80,0,80,0,51,22,21,9,1,0,3,mission_effective_ready
028,4,Alt-country and No Depression,true,80,39,80,0,80,0,50,22,21,12,1,0,1,mission_effective_ready
029,4,Adult alternative and coffeehouse songcraft,true,80,40,80,0,80,0,51,22,21,5,3,0,0,mission_effective_ready
030,4,Modern indie folk and folk-pop,true,80,39,80,0,80,0,51,23,21,7,2,0,2,mission_effective_ready
031,5,Classic Country / Honky-Tonk / Nashville Foundations,true,80,35,80,0,80,0,57,14,18,12,2,0,7,mission_effective_ready
032,5,Outlaw Country / Cosmic Country,true,80,36,80,0,80,0,48,18,16,14,4,0,8,mission_effective_ready
033,5,Country-Pop / Crossover Country,true,80,37,80,0,80,0,53,14,15,8,5,0,8,mission_effective_ready
034,5,90s Country Radio / Hat Acts / New Traditionalists,true,80,37,80,0,80,0,54,16,23,12,0,0,0,mission_effective_ready
035,5,Modern Country Radio / Bro-Country / Arena Country,true,80,38,80,0,80,0,51,16,21,12,4,0,1,mission_effective_ready
036,5,Red Dirt / Americana Country / Texas Country,true,80,29,80,0,80,0,51,17,18,14,0,0,13,mission_effective_ready
037,6,Motown / Detroit Soul Pop,true,80,36,80,0,80,0,62,12,13,3,5,0,11,mission_effective_ready
038,6,Southern Soul / Stax / Muscle Shoals,true,80,36,80,0,80,0,60,14,15,5,4,0,9,mission_effective_ready
039,6,Funk / Psychedelic Soul / Groove Canon,true,80,36,80,0,80,0,60,14,15,6,3,0,9,mission_effective_ready
040,6,Disco / Dancefloor 70s,true,80,37,80,0,80,0,58,16,14,5,2,0,10,mission_effective_ready
041,6,Quiet Storm / Smooth R&B / Adult Soul,true,80,35,80,0,80,0,60,14,15,5,4,0,10,mission_effective_ready
042,6,New Jack Swing / 80s-90s R&B Pop,true,80,39,80,0,80,0,60,15,21,4,1,0,0,mission_effective_ready
043,6,Neo-Soul / Conscious R&B,true,80,36,80,0,80,0,58,16,17,7,1,0,7,mission_effective_ready
044,6,Modern R&B / Alt-R&B / Bedroom R&B,true,100,39,100,0,100,0,74,18,18,9,3,0,3,mission_effective_ready
045,7,Old-School Hip-Hop / Electro-Rap Foundations,true,80,37,80,0,80,0,52,17,14,11,4,0,9,mission_effective_ready
046,7,Golden Age Hip-Hop / Conscious / Native Tongues,true,80,38,80,0,80,0,49,22,15,9,1,0,7,mission_effective_ready
