source_ref,replacement_candidate_identity_key,replacement_relationship,replacement_artist_display_name,replacement_title,replacement_year,apple_catalog_id,apple_resource_type,storefront,sidecar_policy,decision_reason,notes,raw_payload_persisted
album|bad brains|bad brains,album|bad brains|i against i,apple_resolvable_replacement_for_unresolvable_graph_album,Bad Brains,I Against I,1986,1469831735,album,us,promote_album_sidecar,original_unavailable_use_same_artist_replacement_node,Use same-artist album replacement instead of Rock for Light.,false
album|eevee|seeds,album|eevee|beat tape 12,apple_resolvable_replacement_for_unresolvable_graph_album,eevee,beat tape 12,2026,1860043305,album,us,promote_album_sidecar,source_album_bandcamp_only_use_same_artist_replacement_node,Seeds is only on Bandcamp; use Apple-available same-artist replacement node.,false
album|fats domino|this is fats domino,album|fats domino|fats domino swings,apple_resolvable_replacement_for_unresolvable_graph_album,Fats Domino,Fats Domino Swings,1958,1396311078,album,us,promote_album_sidecar,original_unavailable_use_same_artist_replacement_node,Use Apple-available same-artist Fats Domino album.,false
album|jackie wilson|mr excitement,album|jackie wilson|20 greatest hits remastered,apple_resolvable_replacement_for_unresolvable_graph_album,Jackie Wilson,20 Greatest Hits (Remastered),1983,111289716,album,us,promote_album_sidecar,original_unavailable_use_same_artist_compilation_node,Use same-artist compilation replacement.,false
album|mahalia jackson|world s greatest gospel singer,album|mahalia jackson|gospels spirituals hymns,apple_resolvable_replacement_for_unresolvable_graph_album,Mahalia Jackson,"Gospels, Spirituals, & Hymns",1991,1032611117,album,us,promote_album_sidecar,original_unavailable_use_same_artist_replacement_node,Use Apple-available Mahalia Jackson gospel collection.,false
album|major lance|monkey time,album|major lance|very best of major lance,apple_resolvable_replacement_for_unresolvable_graph_album,Major Lance,The Very Best of Major Lance,2000,158532661,album,us,promote_album_sidecar,original_unavailable_use_same_artist_compilation_node,Use same-artist compilation replacement.,false
album|minor threat|complete discography,album|minor threat|first two seven inches,apple_resolvable_replacement_for_unresolvable_graph_album,Minor Threat,First Two Seven Inches,1984,784725777,album,us,promote_album_sidecar,original_unavailable_use_same_artist_replacement_node,Use same-artist early Minor Threat release as graph replacement node.,false
album|monks|black monk time,album|monks|early years 1964 1965,apple_resolvable_replacement_for_unresolvable_graph_album,The Monks,The Early Years 1964 - 1965,2009,1790512830,album,us,promote_album_sidecar,original_unavailable_use_same_artist_replacement_node,Use same-artist archival replacement node.,false
album|oscar d leon|el oscar de la salsa,album|oscar d leon|la salsa en las venas,apple_resolvable_replacement_for_unresolvable_graph_album,Oscar D'Leon,La Salsa en las Venas,1993,1472779181,album,us,promote_album_sidecar,original_unavailable_use_same_artist_replacement_node,Use same-artist salsa replacement album.,false
album|peter paul and mary|if i had a hammer,album|peter paul and mary|very best of peter paul and mary,apple_resolvable_replacement_for_unresolvable_graph_album,"Peter, Paul and Mary","The Very Best of Peter, Paul and Mary",2005,79029971,album,us,promote_album_sidecar,original_unavailable_use_same_artist_compilation_node,Use same-artist compilation replacement.,false
album|rossington collins band|anytime anyplace anywhere,album|rossington collins band|20th century masters millennium collection best of rossington collins band,apple_resolvable_replacement_for_unresolvable_graph_album,Rossington Collins Band,20th Century Masters - The Millennium Collection: The Best of Rossington Collins Band,2003,1443843596,album,us,promote_album_sidecar,original_unavailable_use_same_artist_compilation_node,Use same-artist compilation replacement.,false
album|sugarhill gang|sugarhill gang,album|sugarhill gang|essentials sugarhill gang,apple_resolvable_replacement_for_unresolvable_graph_album,The Sugarhill Gang,The Essentials: The Sugarhill Gang,2002,51958106,album,us,promote_album_sidecar,original_unavailable_use_same_artist_compilation_node,Use same-artist essentials compilation replacement.,false
album|various artists|matrix,album|various artists|matrix reloaded the album music from the motion picture,apple_resolvable_replacement_for_unresolvable_graph_album,Various Artists,The Matrix Reloaded: The Album (Music from the Motion Picture),2003,328870607,album,us,promote_album_sidecar,original_unavailable_use_sequel_soundtrack_node,Original The Matrix rock/industrial soundtrack is unavailable; prior score candidate is explicitly rejected.,false
album|various artists|now that s what i call christmas,playlist|apple music|christmas,apple_resolvable_replacement_for_unresolvable_graph_album,Apple Music,Christmas,2026,pl.0928edf01d5648948370b1404c7c6d0a,playlist,us,playlist_fallback_no_album_sidecar,album_unavailable_use_playlist_context_node,"Technically a playlist, but manually approved as having the right seasonal material. Do not treat as album sidecar.",false
