candidate_identity_key,candidate_type,artist_display_name,title,year,membership_count,active_effective_credit_total,archetype_ids,archetypes,import_classes,source_layers,pm_multi_membership_statuses,version_or_composition_risks,risk_statuses
album||myth takes,album,!!!,Myth Takes,2007,1,1,085,Indie Dance / Dance-Punk / Electroclash,core_graph_album,current_graph,not_applicable,none,resolved
album|100 gecs|10 000 gecs,album,100 gecs,"10,000 gecs",2023,1,1,119,Hyperpop / Synthetic Edge-Pop / Internet Maximalism,core_graph_album,pass_c_addition,not_applicable,none,resolved
album|100 gecs|1000 gecs,album,100 gecs,1000 gecs,2019,1,1,119,Hyperpop / Synthetic Edge-Pop / Internet Maximalism,core_graph_album,current_graph,not_applicable,none,resolved
album|13th floor elevators|easter everywhere,album,13th Floor Elevators,Easter Everywhere,1967,1,1,014,Heavy Psych / Blues-Rock / Acid Rock,core_graph_album,v0_1_addition,not_applicable,none,resolved
album|13th floor elevators|psychedelic sounds of the 13th floor elevators,album,13th Floor Elevators,The Psychedelic Sounds of the 13th Floor Elevators,1966,1,1,014,Heavy Psych / Blues-Rock / Acid Rock,core_graph_album,current_graph,not_applicable,none,resolved
album|20 20|20 20,album,20/20,20/20,1979,1,1,021,Power Pop / Melodic Guitar Pop,core_graph_album,v0_1_addition,not_applicable,none,resolved
album|21 savage and metro boomin|savage mode ii,album,21 Savage & Metro Boomin,Savage Mode II,2020,1,1,052,Modern Trap / Streaming-Era Rap,core_graph_album,current_graph,not_applicable,none,resolved
album|2baba|grass 2 grace,album,2Baba,Grass 2 Grace,2006,1,1,097,Afrobeats / African Pop Crossover,core_graph_album,pass_c_addition,not_applicable,none,resolved
album|2pac|all eyez on me,album,2Pac,All Eyez on Me,1996,1,1,047,Gangsta Rap / West Coast / G-Funk,core_graph_album,current_graph,not_applicable,none,resolved
album|2pac|me against the world,album,2Pac,Me Against the World,1995,1,1,047,Gangsta Rap / West Coast / G-Funk,core_graph_album,current_graph,not_applicable,none,resolved
album|3 doors down|better life,album,3 Doors Down,The Better Life,2000,1,1,071,Post-Grunge / Modern Rock Radio,core_graph_album,v0_1_addition,not_applicable,remaster,resolved_with_version_note
album|4 non blondes|bigger better faster more,album,4 Non Blondes,"Bigger, Better, Faster, More!",1992,1,1,074,Female 90s Alt / Riot Grrrl / Guitar Voices,core_graph_album,v0_1_addition,not_applicable,remaster,resolved_with_version_note
album|50 cent|get rich or die tryin,album,50 Cent,Get Rich or Die Tryin',2003,1,1,050,Pop-Rap / Mainstream Hip-Hop Crossover,core_graph_album,current_graph,not_applicable,none,resolved
album|6lack|free 6lack,album,6LACK,Free 6lack,2016,1,1,044,Modern R&B / Alt-R&B / Bedroom R&B,core_graph_album,pass_c_addition,not_applicable,none,resolved
album|7 seconds|crew,album,7 Seconds,The Crew,1984,1,1,055,Hardcore Punk / US 80s Hardcore,core_graph_album,v0_1_addition,not_applicable,none,resolved
album|8ball and mjg|comin out hard,album,8Ball & MJG,Comin' Out Hard,1993,1,1,049,Southern Hip-Hop / Crunk / Trap Foundations,core_graph_album,pass_c_addition,not_applicable,none,resolved
