v1_membership_id,source_layer,source_file,source_index,archetype_id,candidate_type,artist_display_name,title,year,primary_family,primary_archetype,secondary_archetypes,recognition_band,mission_role,import_class,version_or_composition_risk,risk_status,confidence,why_it_belongs,notes,candidate_identity_key,archetype_membership_key,active_in_v1,active_effective_credit,pm_multi_membership_status,pass_c_zero_credit_before_pm_decision,tagging_scope
v1m_00001,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Fats Domino,Ain't That a Shame,1955,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Rock and R&B crossover anchor.,Artist-worthy,song|fats domino|ain t that a shame,song|fats domino|ain t that a shame@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00002,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Elvis Presley,All Shook Up,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,A broad positive trigger.,Artist-worthy,song|elvis presley|all shook up,song|elvis presley|all shook up@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00003,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Gene Vincent,Be-Bop-A-Lula,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Shared 001/002 touchstone.,Artist-worthy,song|gene vincent|be bop a lula,song|gene vincent|be bop a lula@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00004,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Carl Perkins,Blue Suede Shoes,1955,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Foundation song shared with 002.,Artist-worthy,song|carl perkins|blue suede shoes,song|carl perkins|blue suede shoes@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00005,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Fats Domino,Blueberry Hill,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Mass oldies recognition is very high.,Artist-worthy,song|fats domino|blueberry hill,song|fats domino|blueberry hill@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00006,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Bo Diddley,Bo Diddley,1955,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,boundary_case,boundary_candidate,none,resolved,high,Beat-pattern anchor.,Artist-worthy,song|bo diddley|bo diddley,song|bo diddley|bo diddley@@001,true,1,not_applicable,false,boundary_contrast_tagging
v1m_00007,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,The Everly Brothers,Bye Bye Love,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Harmony-based foundation test.,Artist-worthy,song|everly brothers|bye bye love,song|everly brothers|bye bye love@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00008,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,The Everly Brothers,Cathy's Clown,1960,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Important hinge into pre-Beatles pop-rock.,Artist-worthy,song|everly brothers|cathy s clown,song|everly brothers|cathy s clown@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00009,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,The Coasters,Charlie Brown,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Keeps novelty/comic-rock branch visible.,Artist-worthy,song|coasters|charlie brown,song|coasters|charlie brown@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00010,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Elvis Presley,Don't Be Cruel,1956,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Ultra-safe recognition object.,Artist-worthy,song|elvis presley|don t be cruel,song|elvis presley|don t be cruel@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00011,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Ritchie Valens,Donna,1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,"Softer complement to ""La Bamba.""",Song-first,song|ritchie valens|donna,song|ritchie valens|donna@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00012,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Bobby Darin,Dream Lover,1959,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Tests a slicker romantic side of the lane.,Artist-worthy,song|bobby darin|dream lover,song|bobby darin|dream lover@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00013,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Buddy Holly,Everyday,1957,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,Softer melodic test.,Artist-worthy,song|buddy holly|everyday,song|buddy holly|everyday@@001,true,1,not_applicable,false,primary_song_tagging
v1m_00014,current_graph,data/canonical_graph/family_1/normalized_family_1.json,,001,song,Little Richard,"Good Golly, Miss Molly",1958,"Early Rock, Oldies, Doo-Wop, Pre-Beatles Pop",Early Rock & Roll Foundations,,obvious,bridge,core_graph_playable,none,resolved,high,One of the easiest entry songs.,Artist-worthy,song|little richard|good golly miss molly,song|little richard|good golly miss molly@@001,true,1,not_applicable,false,primary_song_tagging
